fid,dim,seed,S_min,stall,eta,err,feeds,cfg
6,10,2040,0.02,5,0.2,2051.891457369018,0,S0.02_st5_e0.2
6,10,2041,0.02,5,0.2,99.24586884205291,0,S0.02_st5_e0.2
6,10,2042,0.02,5,0.2,559.3123853696338,0,S0.02_st5_e0.2
6,10,2043,0.02,5,0.2,45.95817002566605,0,S0.02_st5_e0.2
6,10,2044,0.02,5,0.2,675.5739168990817,1,S0.02_st5_e0.2
6,10,2045,0.02,5,0.2,242.56371150042878,0,S0.02_st5_e0.2
6,10,2046,0.02,5,0.2,93.87973438696804,0,S0.02_st5_e0.2
6,10,2047,0.02,5,0.2,395.659889363053,0,S0.02_st5_e0.2
6,10,2048,0.02,5,0.2,9.938171474374258,0,S0.02_st5_e0.2
6,10,2049,0.02,5,0.2,65.38812318801138,3,S0.02_st5_e0.2
6,10,2050,0.02,5,0.2,284.5149148627752,0,S0.02_st5_e0.2
6,10,2051,0.02,5,0.2,1791.0280974832085,0,S0.02_st5_e0.2
6,10,2052,0.02,5,0.2,32117.54180388816,0,S0.02_st5_e0.2
6,10,2053,0.02,5,0.2,467.7387479156232,1,S0.02_st5_e0.2
6,10,2054,0.02,5,0.2,605.8874727139241,0,S0.02_st5_e0.2
6,10,2055,0.02,5,0.2,214.3249526909899,2,S0.02_st5_e0.2
7,10,2026,0.02,5,0.2,25.965094030835417,0,S0.02_st5_e0.2
7,10,2027,0.02,5,0.2,37.64624992686959,0,S0.02_st5_e0.2
7,10,2028,0.02,5,0.2,42.95687216596161,0,S0.02_st5_e0.2
7,10,2029,0.02,5,0.2,43.95014871839271,0,S0.02_st5_e0.2
7,10,2030,0.02,5,0.2,34.383843844269904,0,S0.02_st5_e0.2
7,10,2031,0.02,5,0.2,134.38254526344008,0,S0.02_st5_e0.2
7,10,2032,0.02,5,0.2,32.035200756354016,0,S0.02_st5_e0.2
7,10,2033,0.02,5,0.2,31.191424380933768,0,S0.02_st5_e0.2
7,10,2034,0.02,5,0.2,31.850144458401473,0,S0.02_st5_e0.2
7,10,2035,0.02,5,0.2,43.42286971016097,0,S0.02_st5_e0.2
7,10,2036,0.02,5,0.2,36.327484249709414,0,S0.02_st5_e0.2
7,10,2037,0.02,5,0.2,31.388815349292372,0,S0.02_st5_e0.2
7,10,2038,0.02,5,0.2,35.815585103071726,0,S0.02_st5_e0.2
7,10,2039,0.02,5,0.2,38.361647785435025,0,S0.02_st5_e0.2
7,10,2040,0.02,5,0.2,25.90716369378947,0,S0.02_st5_e0.2
7,10,2041,0.02,5,0.2,131.89080052012514,0,S0.02_st5_e0.2
7,10,2042,0.02,5,0.2,31.43746699848498,0,S0.02_st5_e0.2
7,10,2043,0.02,5,0.2,78.58332780998398,0,S0.02_st5_e0.2
7,10,2044,0.02,5,0.2,125.68045250121486,0,S0.02_st5_e0.2
7,10,2045,0.02,5,0.2,30.667328583208246,0,S0.02_st5_e0.2
7,10,2046,0.02,5,0.2,26.048801183161004,0,S0.02_st5_e0.2
7,10,2047,0.02,5,0.2,34.07264209752293,0,S0.02_st5_e0.2
7,10,2048,0.02,5,0.2,36.92972482745108,0,S0.02_st5_e0.2
7,10,2049,0.02,5,0.2,26.679710912695555,0,S0.02_st5_e0.2
7,10,2050,0.02,5,0.2,141.6846054861826,0,S0.02_st5_e0.2
7,10,2051,0.02,5,0.2,33.966506738234784,0,S0.02_st5_e0.2
7,10,2052,0.02,5,0.2,30.036045195878387,0,S0.02_st5_e0.2
7,10,2053,0.02,5,0.2,127.57991497834064,0,S0.02_st5_e0.2
7,10,2054,0.02,5,0.2,29.873483481775793,0,S0.02_st5_e0.2
7,10,2055,0.02,5,0.2,36.04762372468099,0,S0.02_st5_e0.2
8,10,2026,0.02,5,0.2,8.139066425389956,0,S0.02_st5_e0.2
8,10,2027,0.02,5,0.2,6.881199274359915,0,S0.02_st5_e0.2
8,10,2028,0.02,5,0.2,23.745207099409072,0,S0.02_st5_e0.2
8,10,2029,0.02,5,0.2,7.276572914552162,0,S0.02_st5_e0.2
8,10,2030,0.02,5,0.2,120.73534694552882,0,S0.02_st5_e0.2
8,10,2031,0.02,5,0.2,3.031069989964635,1,S0.02_st5_e0.2
8,10,2032,0.02,5,0.2,22.865360745276575,0,S0.02_st5_e0.2
8,10,2033,0.02,5,0.2,24.19755613989082,0,S0.02_st5_e0.2
8,10,2034,0.02,5,0.2,23.46463916599305,0,S0.02_st5_e0.2
8,10,2035,0.02,5,0.2,25.817193049448633,0,S0.02_st5_e0.2
8,10,2036,0.02,5,0.2,6.823047248054536,0,S0.02_st5_e0.2
8,10,2037,0.02,5,0.2,8.129980677837011,0,S0.02_st5_e0.2
8,10,2038,0.02,5,0.2,6.654248666640342,0,S0.02_st5_e0.2
8,10,2039,0.02,5,0.2,25.01354432008702,0,S0.02_st5_e0.2
8,10,2040,0.02,5,0.2,23.68040721497937,0,S0.02_st5_e0.2
8,10,2041,0.02,5,0.2,7.6497063532133325,0,S0.02_st5_e0.2
8,10,2042,0.02,5,0.2,24.517742845629073,0,S0.02_st5_e0.2
8,10,2043,0.02,5,0.2,25.150351171878356,0,S0.02_st5_e0.2
8,10,2044,0.02,5,0.2,24.920960238668613,0,S0.02_st5_e0.2
8,10,2045,0.02,5,0.2,10.86335118426723,0,S0.02_st5_e0.2
8,10,2046,0.02,5,0.2,24.693726572212654,0,S0.02_st5_e0.2
8,10,2047,0.02,5,0.2,24.885406862406853,0,S0.02_st5_e0.2
8,10,2048,0.02,5,0.2,27.756886232636134,0,S0.02_st5_e0.2
8,10,2049,0.02,5,0.2,26.133593622660555,0,S0.02_st5_e0.2
8,10,2050,0.02,5,0.2,25.87109420824754,0,S0.02_st5_e0.2
8,10,2051,0.02,5,0.2,26.136048954851503,0,S0.02_st5_e0.2
8,10,2052,0.02,5,0.2,25.09692887708661,0,S0.02_st5_e0.2
8,10,2053,0.02,5,0.2,9.150711522209349,0,S0.02_st5_e0.2
8,10,2054,0.02,5,0.2,25.57679642658104,0,S0.02_st5_e0.2
8,10,2055,0.02,5,0.2,8.934140393222151,0,S0.02_st5_e0.2
9,10,2026,0.02,5,0.2,9.094947017729282e-13,7,S0.02_st5_e0.2
9,10,2027,0.02,5,0.2,359.0943447803629,6,S0.02_st5_e0.2
9,10,2028,0.02,5,0.2,359.0943447803602,11,S0.02_st5_e0.2
9,10,2029,0.02,5,0.2,359.094344780362,15,S0.02_st5_e0.2
9,10,2030,0.02,5,0.2,359.0943447803602,12,S0.02_st5_e0.2
9,10,2031,0.02,5,0.2,359.5804092406588,0,S0.02_st5_e0.2
9,10,2032,0.02,5,0.2,359.0943447803602,12,S0.02_st5_e0.2
9,10,2033,0.02,5,0.2,2.2737367544323206e-12,0,S0.02_st5_e0.2
9,10,2034,0.02,5,0.2,359.0943447803611,14,S0.02_st5_e0.2
9,10,2035,0.02,5,0.2,9.094947017729282e-13,6,S0.02_st5_e0.2
9,10,2036,0.02,5,0.2,359.0943447803611,3,S0.02_st5_e0.2
