problem,seed,f,viol,nfe,x,c1_selected,c2_selected,c1_accepted,c2_accepted,iters,c1_sel_share,c1_acc_share,c1_acc_rate
cec2022_F1_d10,1006,300.0000003070683,0.0,14970,"[-55.93790356075235, 4.543082376704792, 35.299916466111505, 8.279324783913065, -47.437163591774194, 7.3020570944701335, 6.387627854311918, -2.497776525695313, -61.05340244042069, -47.133890311233344]",87,4893,36,3794,166,0.01746987951807229,0.009399477806788513,0.41379310344827586
cec2022_F1_d10,1007,300.00000000000705,0.0,14970,"[-55.93832688896315, 4.543065232307086, 35.30006998674612, 8.2794406319583, -47.436942771463094, 7.302099388211501, 6.387665785502502, -2.497831236039271, -61.053559609797425, -47.13399654528656]",104,4876,41,3696,166,0.020883534136546186,0.010971367407010971,0.3942307692307692
cec2022_F1_d10,1008,300.00003985717643,0.0,14970,"[-55.93846629627564, 4.541816523461124, 35.29911124613675, 8.280048200596845, -47.436785447140025, 7.302447955286814, 6.38742223161354, -2.491898940834792, -61.053209436667984, -47.134550672338854]",122,4858,37,3831,166,0.024497991967871485,0.009565667011375388,0.30327868852459017
cec2022_F1_d10,1009,300.00000101547187,0.0,14970,"[-55.938405228880285, 4.543898526702453, 35.29984032130397, 8.279487972458575, -47.4370737139866, 7.302105685762425, 6.387316924476642, -2.4980100961702054, -61.053356530416046, -47.134093021405164]",122,4858,38,3861,166,0.024497991967871485,0.009746088740702744,0.3114754098360656
cec2022_F1_d10,1010,300.0000000000366,0.0,14970,"[-55.938329637027444, 4.543066519305635, 35.30007209794657, 8.279441063835709, -47.43694562072956, 7.302099661999007, 6.387665666393025, -2.4978302186623114, -61.05355645505615, -47.13399279347279]",108,4872,36,3705,166,0.021686746987951807,0.009623095429029671,0.3333333333333333
cec2022_F1_d10,1011,300.00000003754855,0.0,14970,"[-55.938286411723475, 4.5430379579543, 35.30013231034945, 8.27943591771941, -47.43693362661484, 7.30213669630767, 6.3876798774267955, -2.4978236165529166, -61.05339578372395, -47.13405194477094]",110,4870,38,3859,166,0.02208835341365462,0.009751090582499358,0.34545454545454546
cec2022_F1_d10,1012,300.0000000000814,0.0,14970,"[-55.93832472547076, 4.543061116202557, 35.30007076213938, 8.279440361310252, -47.43693580022439, 7.302102237213506, 6.387665910259477, -2.4978323488833967, -61.05355771442749, -47.13399599361282]",87,4893,30,3815,166,0.01746987951807229,0.007802340702210663,0.3448275862068966
cec2022_F1_d10,1013,300.000000138282,0.0,14970,"[-55.938458047851576, 4.543106353719963, 35.300228884940424, 8.27957619382067, -47.436959318433246, 7.302199972548109, 6.387749108451673, -2.497916299039935, -61.05360734875838, -47.13379328088824]",107,4873,46,3711,166,0.0214859437751004,0.01224381155177003,0.42990654205607476
cec2022_F1_d10,1014,300.0000000064496,0.0,14970,"[-55.9383360448184, 4.543052165856561, 35.300047973473674, 8.27942717020662, -47.43697751112294, 7.302068174706783, 6.3877040414983455, -2.497794943967169, -61.05357630747531, -47.13398370914043]",95,4885,38,3822,166,0.019076305220883535,0.009844559585492229,0.4
cec2022_F1_d10,1015,300.0000000001755,0.0,14970,"[-55.93831851471291, 4.543065418034869, 35.300070720503854, 8.27944063466562, -47.43695234600366, 7.302098728885301, 6.387665227820188, -2.4978333783267512, -61.053558892202695, -47.133997352219325]",101,4879,43,3818,166,0.020281124497991968,0.011137011137011137,0.42574257425742573
cec2022_F1_d10,1016,300.00000000001427,0.0,14970,"[-55.938326804082614, 4.543065072705586, 35.30007003587995, 8.279441122454058, -47.43694299775005, 7.302099535329368, 6.387665640326367, -2.497831628405971, -61.053560795147135, -47.13399657813579]",86,4894,31,3269,166,0.017269076305220885,0.009393939393939394,0.36046511627906974
cec2022_F1_d10,1017,300.00000000064324,0.0,14970,"[-55.938327859738045, 4.54305847275949, 35.30008779140283, 8.279444808274189, -47.436938872911774, 7.302098410755611, 6.38766937318687, -2.4978438086653867, -61.05356563922492, -47.13399959625779]",95,4885,42,3752,166,0.019076305220883535,0.01107011070110701,0.4421052631578947
cec2022_F1_d10,1018,300.0000000069763,0.0,14970,"[-55.93832396805637, 4.543023959770425, 35.30007165655944, 8.27941733563128, -47.436942696415926, 7.302088526133837, 6.387729696951582, -2.4978356643648514, -61.05357841205654, -47.13399001094235]",86,4894,40,3761,166,0.017269076305220885,0.010523546435148644,0.46511627906976744
