function,dim,variant,seed,err,nfe,feeds,c1_acc,c2_acc
F22022,10,EAO,1000,8.916102028550597,14970,0,32,3779
F22022,10,EAO,1001,6.028928928073299,14970,0,37,3179
F22022,10,EAO,1002,8.916101928768569,14970,0,37,3776
F22022,10,EAO,1003,6.899807865824641,14970,0,34,3726
F22022,10,EAO,1004,8.916101927801378,14970,0,29,3663
F22022,10,EAO,1005,8.916101927782279,14970,0,32,3676
F22022,10,EAO,1006,4.576264576873655,14970,0,24,2862
F22022,10,EAO,1007,0.004909385179189485,14970,0,23,3093
F22022,10,EAO,1008,0.006850131543330917,14970,0,29,3386
F22022,10,EAO,1009,8.91610192785862,14970,0,42,3258
F22022,10,EAO,1010,0.011816550606624787,14970,0,32,3594
F22022,10,EAO,1011,6.460471930703989,14970,0,30,3089
F22022,10,EAO,1012,5.866252444878285,14970,0,32,3916
F22022,10,EAO,1013,8.91610205447273,14970,0,27,3760
F22022,10,EAO,1014,8.916102001351874,14970,0,24,3710
F22022,10,EAO,1015,8.916102040943997,14970,0,41,3641
F22022,10,EAO,1016,5.253566213959573,14970,0,33,3575
F22022,10,EAO,1017,0.0004545890373037764,14970,0,31,3343
F22022,10,EAO,1018,0.2950476905313053,14970,0,37,3335
F22022,10,EAO,1019,0.018916114249975635,14970,0,30,3644
F22022,10,EAO,1020,4.383254463193737,14970,0,30,3334
F22022,10,EAO,1021,4.039863575492575,14970,0,33,2713
F22022,10,EAO,1022,8.916101927781767,14970,0,25,3727
F22022,10,EAO,1023,8.916101927782847,14970,0,29,3712
F22022,10,EAO,1024,6.67734534761513,14970,0,29,3785
F22022,10,EAO,1025,8.916101929321428,14970,0,31,3709
F22022,10,EAO,1026,6.029900178753678,14970,0,28,3698
F22022,10,EAO,1027,5.482807573611524,14970,0,23,3731
F22022,10,EAO,1028,8.916101928306603,14970,0,42,3645
F22022,10,EAO,1029,8.916101930580567,14970,0,35,3747
F22022,10,EAO+M2,1000,8.916101927781312,14970,0,1351,1015
F22022,10,EAO+M2,1001,3.9865796353799965,14970,0,2237,2127
F22022,10,EAO+M2,1002,8.91610192778137,14970,0,1334,1107
F22022,10,EAO+M2,1003,8.916101927781483,14970,0,1415,2169
F22022,10,EAO+M2,1004,3.9866271081160107,14970,0,1380,2376
F22022,10,EAO+M2,1005,3.9974344235976673,14970,0,1344,2471
F22022,10,EAO+M2,1006,3.9866166874354576,14970,0,1638,2335
F22022,10,EAO+M2,1007,8.916101927781312,14970,0,1472,921
F22022,10,EAO+M2,1008,8.91610192778137,14970,0,1283,964
F22022,10,EAO+M2,1009,8.91610192778137,14970,0,1245,1193
F22022,10,EAO+M2,1010,8.916101927782279,14970,0,2744,1847
F22022,10,EAO+M2,1011,8.91610192778137,14970,0,331,2646
F22022,10,EAO+M2,1012,3.986580782903218,14970,0,2313,2067
F22022,10,EAO+M2,1013,8.91610192778137,14970,0,974,1732
F22022,10,EAO+M2,1014,8.916101927781426,14970,0,259,2601
F22022,10,EAO+M2,1015,3.9865839041792697,14970,0,1786,2313
F22022,10,EAO+M2,1016,3.4962040956543206e-05,14970,0,2161,2167
