t,AF,S,fed,variant
142,0.2309226935988895,0.33304535574879013,0,KE-EAO
143,0.233107978320373,0.32898574609301684,0,KE-EAO
144,0.233107978320373,0.32898574609301684,0,KE-EAO
145,0.23267897847696717,0.32977668483231276,0,KE-EAO
146,0.23289260912144283,0.3293824539011222,0,KE-EAO
147,0.23925374136332767,0.3179662956582205,0,KE-EAO
148,0.23925374136332767,0.3179662956582205,0,KE-EAO
149,0.23925374136332767,0.3179662956582205,0,KE-EAO
150,0.24916471783029648,0.30134093169687426,0,KE-EAO
151,0.2498610892492642,0.30022238076549357,0,KE-EAO
152,0.2515210948146752,0.29758096661308525,0,KE-EAO
153,0.25170086972551475,0.29729699825452394,0,KE-EAO
154,0.2598454188735517,0.2848441909559425,0,KE-EAO
155,0.2583751554341309,0.28703411646517063,0,KE-EAO
156,0.2579930076845808,0.2876074041598011,0,KE-EAO
157,0.2582444213966849,0.28723004918813605,0,KE-EAO
158,0.25840991918748046,0.2869820489648018,0,KE-EAO
159,0.26172795478299504,0.2820761144254247,0,KE-EAO
160,0.2816658800720665,0.25503057727266853,0,KE-EAO
161,0.28559857844439696,0.2501417988306581,0,KE-EAO
162,0.28492171235682273,0.2509736031445882,0,KE-EAO
163,0.2829192572079883,0.2534577355633482,0,KE-EAO
164,0.28799578713256435,0.24722730146733035,0,KE-EAO
165,0.2910834701743422,0.2435440698164886,0,KE-EAO
166,0.29130354958728,0.2432845227656182,0,KE-EAO
167,0.29115462793174973,0.2434601081575158,0,KE-EAO
168,0.29082031480779236,0.24385493347014484,0,KE-EAO
169,0.29172761967712846,0.24278550694197448,0,KE-EAO
170,0.2914125860025719,0.24315607768264838,0,KE-EAO
171,0.302709218349107,0.23035003210464672,0,KE-EAO
172,0.3032200578061117,0.22979348636607383,0,KE-EAO
173,0.30348805639983467,0.22950225846203848,0,KE-EAO
174,0.3026473852373558,0.23041752507319205,0,KE-EAO
175,0.30234905831428927,0.23074354706952926,0,KE-EAO
176,0.3058449265046257,0.22696308270618828,0,KE-EAO
177,0.30526645664431273,0.22758266695681204,0,KE-EAO
178,0.3044792525145522,0.22842960291759334,0,KE-EAO
179,0.30590054418263146,0.22690363551722598,0,KE-EAO
180,0.30611497037382696,0.2266746473649434,0,KE-EAO
181,0.306021404040573,0.2267745284468461,0,KE-EAO
182,0.31872542235552226,0.2137496822843802,0,KE-EAO
183,0.31938312264781776,0.213103582841068,0,KE-EAO
184,0.3217382477124563,0.2108116635525781,0,KE-EAO
185,0.32549031055634015,0.20722880760744086,0,KE-EAO
186,0.3257830564619635,0.20695273439327988,0,KE-EAO
187,0.32577803386782156,0.2069574667534925,0,KE-EAO
188,0.32565390279422113,0.2070744712161163,0,KE-EAO
189,0.38176826409630427,0.1619390069960717,0,KE-EAO
190,0.3810831235048392,0.16240994111808302,0,KE-EAO
191,0.38099740445884334,0.16246897965627055,0,KE-EAO
192,0.3797651972069137,0.1633206010858214,0,KE-EAO
193,0.3779679537325865,0.16457269462254548,0,KE-EAO
194,0.3787744167309667,0.16400938284865033,0,KE-EAO
195,0.37867153833519884,0.1640811095537904,0,KE-EAO
196,0.3821850229406547,0.16165337205149422,0,KE-EAO
197,0.3821325710661261,0.16168928683835093,0,KE-EAO
198,0.38312916099135685,0.16100858452342115,0,KE-EAO
199,0.3846586543971171,0.1599707529178875,0,KE-EAO
200,0.3846302289681336,0.15998996560482243,0,KE-EAO
201,0.38605611058700706,0.1590297038633781,0,KE-EAO
202,0.38394569746496765,0.16045349813855986,0,KE-EAO
203,0.38474905566223416,0.15990966976612564,0,KE-EAO
204,0.3858711370130774,0.15915387394370192,0,KE-EAO
205,0.3855132289488471,0.15939447077513597,0,KE-EAO
206,0.3860014947935795,0.15906635427273835,0,KE-EAO
207,0.38598209366933267,0.15907937606470698,0,KE-EAO
208,0.38696760460569946,0.15841956486743897,0,KE-EAO
209,0.3873699547948296,0.15815115179225755,0,KE-EAO
210,0.3874815662074498,0.15807679312017134,0,KE-EAO
211,0.3894127878600191,0.15679690836436186,0,KE-EAO
212,0.38939375702561807,0.15680945879525504,0,KE-EAO
213,0.39393850810892295,0.1538467246577231,0,KE-EAO
214,0.3941344385127823,0.15372053347415585,0,KE-EAO
215,0.3942923535006331,0.1536189178211883,0,KE-EAO
216,0.39400820588280294,0.15380182063960568,0,KE-EAO
217,0.39432955414123394,0.15359499167588078,0,KE-EAO
218,0.39506382119352557,0.15312365910371253,0,KE-EAO
219,0.39560199370406746,0.15277931251985963,0,KE-EAO
220,0.3961922527493055,0.15240271435412442,0,KE-EAO
221,0.3960481818735968,0.15249453116266573,0,KE-EAO
222,0.396265670150171,0.152355950900575,0,KE-EAO
223,0.3966390665614956,0.15211838275767992,0,KE-EAO
224,0.3967668429084441,0.15203718956696055,0,KE-EAO
225,0.3966383223164459,0.15211885582810128,0,KE-EAO
226,0.39629003082492686,0.15234043811760192,0,KE-EAO
227,0.3967451317513889,0.152050981844593,0,KE-EAO
228,0.40052286344623544,0.14967363695436975,0,KE-EAO
229,0.4082772369908153,0.1449316075935177,0,KE-EAO
230,0.4084502768618129,0.14482784237120752,0,KE-EAO
231,0.4085470369979294,0.14476985743139,0,KE-EAO
232,0.4083828663339194,0.14486825536464537,0,KE-EAO
233,0.40882127065288054,0.14460566799839383,0,KE-EAO
234,0.40901174551648434,0.14449175627884192,0,KE-EAO
235,0.41060193672662804,0.14354488144214075,0,KE-EAO
236,0.41243607707207763,0.1424618154403693,0,KE-EAO
237,0.4124178149906672,0.14247255177922646,0,KE-EAO
238,0.41546653706163117,0.1406932714900353,0,KE-EAO
239,0.437431447604014,0.1286072493135548,0,KE-EAO
240,0.476436134892523,0.10989172037204636,0,KE-EAO
