dim,fid,alg,mean,std,median,best,rank
10,5,RUN,1.018200290212523,0.42408106487893155,0.9533607867448382,0.23157170020340345,7.0
10,5,GWO,0.13500022849403118,0.21351036223444317,0.06273978416197679,0.02610812108537175,4.0
10,5,WOA,2.773399674738444,1.5067666167214662,2.529648182691915,0.3850014253752079,9.0
10,5,HHO,1.4718447145978302,0.9201384225282206,1.1584537391429421,0.18739106342036393,8.0
10,5,SCA,0.4574417243036881,0.09198539142775011,0.4659368522591194,0.1967880969524458,6.0
10,5,LSHADE,0.0,0.0,0.0,0.0,1.0
10,6,EAO,2968.829286208908,3078.252136320833,2145.1525298338265,107.4980214861846,3.0
10,6,RS-EAO,1669.721819990591,2000.3867981853248,702.1611009339006,27.944128637685026,2.0
10,6,AS-ABMO,9481.253005319924,7877.366754244692,8138.272370993511,268.89765633967636,4.0
10,6,RUN,27357.92104257285,23069.002070405088,17923.981958523807,11717.93032112676,6.0
10,6,GWO,1216121.6943897482,975381.0804576416,954499.2468436356,102275.59166131823,8.0
10,6,WOA,24452.67412501523,12218.997556185112,20972.933525895263,2088.185318219516,5.0
10,6,HHO,38900.473993971296,24291.761506164436,34690.3097000713,5594.111680062415,7.0
10,6,SCA,3920719.549863742,2407370.3669590754,3060628.719053773,787780.7879901339,9.0
10,6,LSHADE,2.7544430196835115,4.725008341250835,1.3262663272172404,0.0993731700330045,1.0
10,7,EAO,35.120925203324866,5.264299163405269,34.991136386357766,22.149091652974448,3.0
10,7,RS-EAO,41.39804063173048,26.259917495613077,34.52207910519087,28.31461457587511,4.0
10,7,AS-ABMO,30.698922782563955,25.824202629924105,24.92636354858439,2.549654693608545,2.0
10,7,RUN,106.27280035075817,38.67829163922635,98.07322844284295,52.803469149890134,6.0
10,7,GWO,70.79296982356689,34.70887676675658,57.73893650359014,46.699585542166005,5.0
10,7,WOA,272.7458565897992,185.75138703502054,219.2515720095853,35.03814783626217,9.0
10,7,HHO,241.39367048554809,166.50382621859922,218.47494648518796,48.10114409380276,8.0
10,7,SCA,112.9170503154655,26.669778645877443,106.22802992920174,80.03411398871322,7.0
10,7,LSHADE,11.398979489272302,6.790318913211851,9.052969054278037,2.1780229233881983,1.0
10,8,EAO,20.357021266173767,7.986226678783223,25.1307948487688,6.723531723300766,3.0
10,8,RS-EAO,19.544511431781952,7.723192723914625,24.23940184123103,4.921126070870741,2.0
10,8,AS-ABMO,21.700425547288674,5.489884125061562,22.586848156552833,1.167943399644173,4.0
10,8,RUN,603.8694135844429,581.051936129334,440.52839479164163,33.551548286820434,7.0
10,8,GWO,214.782273076657,190.3826914355091,136.7990470809716,58.990591178654995,5.0
10,8,WOA,2033.1180775797322,1425.6686854818124,1735.1694585695445,274.8332665003604,9.0
10,8,HHO,1226.7425110105057,1022.5674747551675,954.2518543542153,63.48351397904207,8.0
10,8,SCA,447.56970927096313,245.03263588527375,385.41330279036424,62.426117384772624,6.0
10,8,LSHADE,10.94369627232639,8.565706686356377,6.982763442902524,1.9089414392310573,1.0
10,9,EAO,72.08939052238223,146.64961247792183,4.122129371353367e-05,2.649126145115588e-07,1.0
10,9,RS-EAO,167.57736089750733,182.21031063828488,7.412381819449365e-11,4.547473508864641e-13,3.0
10,9,AS-ABMO,303.90548653926845,138.30055928517254,364.5424327644698,4.547473508864641e-13,6.0
10,9,RUN,237.24577103703686,189.01142370077312,375.436392669985,11.717280828734147,5.0
10,9,GWO,320.2597839044408,129.25118898603583,373.80612511080585,25.759611640630283,7.0
10,9,WOA,434.3719041833116,182.32590623468326,402.777752234073,40.254410695157276,8.0
10,9,HHO,548.8962580651241,180.84393234110425,520.2006104763689,34.93666670226503,9.0
10,9,SCA,229.05015680974986,88.90406500847072,212.54826970313047,88.63735319266334,4.0
10,9,LSHADE,107.72830343410824,167.37085760168517,4.547473508864641e-13,4.547473508864641e-13,2.0
10,10,EAO,236.50491505357192,35.69992179394989,222.60547199592747,220.87264975232256,3.0
10,10,RS-EAO,232.93870833741352,32.1013442283318,222.4738766144169,220.54926674206718,2.0
10,10,AS-ABMO,369.79290910342644,318.99713413528934,272.68772118750644,220.87264974898062,7.0
10,10,RUN,285.52820263529804,56.09352294889788,243.56920553744294,228.25419084606983,5.0
10,10,GWO,308.3468513012079,168.5545007923435,230.6951759502008,226.5390548080445,6.0
10,10,WOA,478.86293979446174,431.3192466914811,365.72285922963033,228.31631875323592,9.0
10,10,HHO,374.23897612189927,304.7957821360164,265.08175893025873,229.49481902314346,8.0
10,10,SCA,246.63774009975975,24.290237572932348,241.06684765467844,237.1753898410807,4.0
10,10,LSHADE,227.6781364180269,23.726787516848162,221.12205728252366,220.87264974897926,1.0
10,11,EAO,0.00029640707687879814,0.0014301307784066043,6.0850697991554625e-06,2.853084879461676e-08,2.0
10,11,RS-EAO,116.90693215820596,303.1507261126272,1.8189894035458565e-12,9.094947017729282e-13,6.0
10,11,AS-ABMO,236.58287892070248,392.6918853432944,2.7284841053187847e-12,4.547473508864641e-13,9.0
10,11,RUN,41.53997396476278,158.7157102223945,11.328899788359877,3.9847027095670455,4.0
10,11,GWO,182.3783615071304,354.1370659525283,8.849378621455116,4.301716985683015,8.0
10,11,WOA,105.29385318845947,274.6757574755138,11.61443804090527,0.3944330315330262,5.0
10,11,HHO,123.60326604201933,275.0750854686526,33.39349234620818,4.238628753817466,7.0
10,11,SCA,31.892022708520773,5.383920483388929,32.20588675988097,18.920597067251038,3.0
