alg,fid,dim,seed,f,err,nfe
EAO,12,10,2042,2866.3851304459745,166.38513044597448,15030
EAO,12,10,2043,2864.543329439155,164.54332943915506,15030
EAO,12,10,2044,2867.4478273392456,167.44782733924558,15030
EAO,12,10,2045,2866.7985841810855,166.79858418108552,15030
EAO,12,10,2046,2865.425111330288,165.42511133028802,15030
EAO,12,10,2047,2866.554210797849,166.554210797849,15030
EAO,12,10,2048,2873.0841255146916,173.08412551469155,15030
EAO,12,10,2049,2864.5006575566417,164.50065755664173,15030
EAO,12,10,2050,2865.9343827500948,165.93438275009476,15030
EAO,12,10,2051,2866.4519704598524,166.45197045985242,15030
EAO,12,10,2052,2866.4476751726065,166.44767517260652,15030
EAO,12,10,2053,2864.5629179092343,164.56291790923433,15030
EAO,12,10,2054,2866.453282989173,166.4532829891732,15030
EAO,12,10,2055,2867.48002412816,167.48002412816004,15030
RS-EAO,1,10,2026,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2027,300.0000000000001,1.1368683772161603e-13,15030
RS-EAO,1,10,2028,300.0,0.0,15030
RS-EAO,1,10,2029,300.0,0.0,15030
RS-EAO,1,10,2030,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2031,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2032,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2033,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2034,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2035,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2036,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2037,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2038,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2039,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2040,300.0,0.0,15030
RS-EAO,1,10,2041,300.0,0.0,15030
RS-EAO,1,10,2042,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2043,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2044,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2045,300.0,0.0,15030
RS-EAO,1,10,2046,300.0,0.0,15030
RS-EAO,1,10,2047,300.0000000000001,1.1368683772161603e-13,15030
RS-EAO,1,10,2048,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2049,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2050,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2051,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2052,300.0000000000001,1.1368683772161603e-13,15030
RS-EAO,1,10,2053,300.00000000000006,5.684341886080802e-14,15030
RS-EAO,1,10,2054,300.0,0.0,15030
RS-EAO,1,10,2055,300.0,0.0,15030
RS-EAO,2,10,2026,400.00000001090234,1.0902340363827534e-08,15030
RS-EAO,2,10,2027,400.0002424029575,0.00024240295749677898,15030
RS-EAO,2,10,2028,404.3172466775743,4.317246677574303,15030
RS-EAO,2,10,2029,408.91610192778137,8.91610192778137,15030
RS-EAO,2,10,2030,408.9161019277813,8.916101927781312,15030
RS-EAO,2,10,2031,400.0000000034239,3.42390649166191e-09,15030
RS-EAO,2,10,2032,400.0000390427721,3.9042772073116794e-05,15030
RS-EAO,2,10,2033,403.9865934389306,3.9865934389305835,15030
RS-EAO,2,10,2034,400.00000111903853,1.119038529395766e-06,15030
RS-EAO,2,10,2035,404.01780409301523,4.017804093015229,15030
RS-EAO,2,10,2036,408.9161019277814,8.916101927781426,15030
RS-EAO,2,10,2037,400.0000000035576,3.5576022128225304e-09,15030
RS-EAO,2,10,2038,404.01536851998867,4.0153685199886695,15030
RS-EAO,2,10,2039,408.9161019277814,8.916101927781426,15030
RS-EAO,2,10,2040,400.00000000170724,1.707235242065508e-09,15030
RS-EAO,2,10,2041,404.02750316814075,4.027503168140754,15030
RS-EAO,2,10,2042,403.988195016431,3.988195016431007,15030
RS-EAO,2,10,2043,400.0000140244654,1.402446537213109e-05,15030
RS-EAO,2,10,2044,400.03748782024485,0.037487820244848535,15030
RS-EAO,2,10,2045,404.000404769649,4.000404769648981,15030
RS-EAO,2,10,2046,408.91610192778137,8.91610192778137,15030
