function,dim,variant,seed,err,feeds
F22022,10,RS-EAO,1014,8.916101927781426,0
F22022,10,RS-EAO,1015,3.9865839041792697,0
F22022,10,RS-EAO,1016,3.4962040956543206e-05,0
F22022,10,RS-EAO,1017,3.9865791332480285,0
F22022,10,RS-EAO,1018,3.9866697444051624,0
F22022,10,RS-EAO,1019,8.91610192778137,4
F22022,10,RS-EAO,1020,4.009475129508587,0
F22022,10,RS-EAO,1021,4.084398464848448,0
F22022,10,RS-EAO,1022,6.161140515814623e-05,0
F22022,10,RS-EAO,1023,8.916101927781312,6
F22022,10,RS-EAO,1024,4.107513601996857,0
F22022,10,RS-EAO,1025,4.001659921405235,0
F22022,10,RS-EAO,1026,3.9865804155804767,0
F22022,10,RS-EAO,1027,3.9865791135620725,0
F22022,10,RS-EAO,1028,3.9866083741136435,0
F22022,10,RS-EAO,1029,8.91610192778137,7
F32022,10,EAO,1000,1.1368683772161603e-13,0
F32022,10,EAO,1001,0.0,0
F32022,10,EAO,1002,2.2737367544323206e-13,0
F32022,10,EAO,1003,1.1368683772161603e-13,0
F32022,10,EAO,1004,4.547473508864641e-13,0
F32022,10,EAO,1005,2.2737367544323206e-13,0
F32022,10,EAO,1006,1.0231815394945443e-12,0
F32022,10,EAO,1007,5.684341886080801e-13,0
F32022,10,EAO,1008,6.821210263296962e-13,0
F32022,10,EAO,1009,1.1368683772161603e-13,0
F32022,10,EAO,1010,1.2846612662542611e-11,0
F32022,10,EAO,1011,6.821210263296962e-13,0
F32022,10,EAO,1012,2.2737367544323206e-13,0
F32022,10,EAO,1013,9.094947017729282e-13,0
F32022,10,EAO,1014,4.547473508864641e-13,0
F32022,10,EAO,1015,1.1368683772161603e-13,0
F32022,10,EAO,1016,5.684341886080801e-13,0
F32022,10,EAO,1017,3.410605131648481e-13,0
F32022,10,EAO,1018,9.094947017729282e-13,0
F32022,10,EAO,1019,1.1368683772161603e-13,0
F32022,10,EAO,1020,4.547473508864641e-13,0
F32022,10,EAO,1021,5.684341886080801e-13,0
F32022,10,EAO,1022,3.410605131648481e-12,0
F32022,10,EAO,1023,3.410605131648481e-13,0
F32022,10,EAO,1024,2.2737367544323206e-13,0
F32022,10,EAO,1025,1.1368683772161603e-13,0
F32022,10,EAO,1026,4.547473508864641e-13,0
F32022,10,EAO,1027,3.410605131648481e-13,0
F32022,10,EAO,1028,5.684341886080801e-13,0
F32022,10,EAO,1029,4.547473508864641e-13,0
F32022,10,EAO+M2,1000,1.1368683772161603e-13,0
F32022,10,EAO+M2,1001,0.0,0
F32022,10,EAO+M2,1002,0.0,0
F32022,10,EAO+M2,1003,0.0,0
F32022,10,EAO+M2,1004,0.0,0
F32022,10,EAO+M2,1005,1.1368683772161603e-13,0
F32022,10,EAO+M2,1006,1.1368683772161603e-13,0
F32022,10,EAO+M2,1007,1.1368683772161603e-13,0
F32022,10,EAO+M2,1008,1.1368683772161603e-13,0
F32022,10,EAO+M2,1009,0.0,0
F32022,10,EAO+M2,1010,1.1368683772161603e-13,0
F32022,10,EAO+M2,1011,0.0,0
F32022,10,EAO+M2,1012,0.0,0
F32022,10,EAO+M2,1013,1.1368683772161603e-13,0
F32022,10,EAO+M2,1014,0.0,0
F32022,10,EAO+M2,1015,0.0,0
F32022,10,EAO+M2,1016,0.0,0
F32022,10,EAO+M2,1017,1.1368683772161603e-13,0
F32022,10,EAO+M2,1018,1.1368683772161603e-13,0
F32022,10,EAO+M2,1019,0.0,0
F32022,10,EAO+M2,1020,0.0,0
F32022,10,EAO+M2,1021,1.1368683772161603e-13,0
F32022,10,EAO+M2,1022,0.0,0
F32022,10,EAO+M2,1023,0.0,0
F32022,10,EAO+M2,1024,0.0,0
F32022,10,EAO+M2,1025,0.0,0
F32022,10,EAO+M2,1026,0.0,0
F32022,10,EAO+M2,1027,1.1368683772161603e-13,0
F32022,10,EAO+M2,1028,1.1368683772161603e-13,0
F32022,10,EAO+M2,1029,0.0,0
F32022,10,EAO+feed,1000,1.1368683772161603e-13,3
F32022,10,EAO+feed,1001,0.0,3
F32022,10,EAO+feed,1002,1.1368683772161603e-13,2
F32022,10,EAO+feed,1003,1.1368683772161603e-13,1
F32022,10,EAO+feed,1004,4.547473508864641e-13,3
F32022,10,EAO+feed,1005,2.2737367544323206e-13,2
F32022,10,EAO+feed,1006,1.0231815394945443e-12,2
F32022,10,EAO+feed,1007,5.684341886080801e-13,2
F32022,10,EAO+feed,1008,6.821210263296962e-13,0
F32022,10,EAO+feed,1009,2.2737367544323206e-13,3
F32022,10,EAO+feed,1010,1.2846612662542611e-11,1
F32022,10,EAO+feed,1011,6.821210263296962e-13,3
F32022,10,EAO+feed,1012,5.684341886080801e-13,4
F32022,10,EAO+feed,1013,9.094947017729282e-13,3
F32022,10,EAO+feed,1014,5.684341886080801e-13,4
F32022,10,EAO+feed,1015,1.1368683772161603e-13,3
F32022,10,EAO+feed,1016,5.684341886080801e-13,0
F32022,10,EAO+feed,1017,3.410605131648481e-13,2
F32022,10,EAO+feed,1018,9.094947017729282e-13,0
F32022,10,EAO+feed,1019,1.1368683772161603e-13,1
F32022,10,EAO+feed,1020,4.547473508864641e-13,0
F32022,10,EAO+feed,1021,5.684341886080801e-13,2
F32022,10,EAO+feed,1022,3.410605131648481e-12,0
F32022,10,EAO+feed,1023,1.1368683772161603e-13,3
F32022,10,EAO+feed,1024,2.2737367544323206e-13,2
F32022,10,EAO+feed,1025,1.1368683772161603e-13,3
F32022,10,EAO+feed,1026,4.547473508864641e-13,3
F32022,10,EAO+feed,1027,3.410605131648481e-13,3
F32022,10,EAO+feed,1028,5.684341886080801e-13,0
F32022,10,EAO+feed,1029,4.547473508864641e-13,2
F32022,10,RS-EAO,1000,1.1368683772161603e-13,10
F32022,10,RS-EAO,1001,0.0,9
F32022,10,RS-EAO,1002,0.0,9
F32022,10,RS-EAO,1003,1.1368683772161603e-13,9
F32022,10,RS-EAO,1004,0.0,8
F32022,10,RS-EAO,1005,1.1368683772161603e-13,10
F32022,10,RS-EAO,1006,0.0,8
F32022,10,RS-EAO,1007,1.1368683772161603e-13,9
F32022,10,RS-EAO,1008,1.1368683772161603e-13,8
F32022,10,RS-EAO,1009,0.0,9
F32022,10,RS-EAO,1010,1.1368683772161603e-13,9
F32022,10,RS-EAO,1011,0.0,9
F32022,10,RS-EAO,1012,0.0,9
F32022,10,RS-EAO,1013,1.1368683772161603e-13,9
F32022,10,RS-EAO,1014,0.0,9
F32022,10,RS-EAO,1015,1.1368683772161603e-13,9
F32022,10,RS-EAO,1016,0.0,9
F32022,10,RS-EAO,1017,0.0,9
F32022,10,RS-EAO,1018,1.1368683772161603e-13,9
F32022,10,RS-EAO,1019,0.0,9
F32022,10,RS-EAO,1020,0.0,9
F32022,10,RS-EAO,1021,1.1368683772161603e-13,9
F32022,10,RS-EAO,1022,0.0,9
F32022,10,RS-EAO,1023,0.0,9
F32022,10,RS-EAO,1024,0.0,9
F32022,10,RS-EAO,1025,0.0,9
F32022,10,RS-EAO,1026,0.0,9
F32022,10,RS-EAO,1027,1.1368683772161603e-13,9
F32022,10,RS-EAO,1028,1.1368683772161603e-13,10
F32022,10,RS-EAO,1029,1.1368683772161603e-13,10
F42022,10,EAO,1000,18.541310227691042,0
F42022,10,EAO,1001,54.0,0
F42022,10,EAO,1002,35.072852378252264,0
F42022,10,EAO,1003,48.99964507450625,0
F42022,10,EAO,1004,75.58946333603672,0
F42022,10,EAO,1005,37.79342529905239,0
F42022,10,EAO,1006,23.330082729909236,0
F42022,10,EAO,1007,39.69569901905561,0
F42022,10,EAO,1008,49.442639786713926,0
F42022,10,EAO,1009,24.949246855032357,0
F42022,10,EAO,1010,52.024533662033264,0
F42022,10,EAO,1011,33.46252655750334,0
F42022,10,EAO,1012,80.93348345912216,0
F42022,10,EAO,1013,70.17246268566532,0
F42022,10,EAO,1014,55.95025865041066,0
F42022,10,EAO,1015,27.873353281835193,0
F42022,10,EAO,1016,26.915782846112506,0
F42022,10,EAO,1017,32.95374900349066,0
F42022,10,EAO,1018,31.721427954772707,0
F42022,10,EAO,1019,27.895989073843907,0
F42022,10,EAO,1020,55.228786242253136,0
F42022,10,EAO,1021,44.0,0
F42022,10,EAO,1022,40.06691210059728,0
F42022,10,EAO,1023,44.136202755671775,0
F42022,10,EAO,1024,41.26233945947013,0
F42022,10,EAO,1025,58.90816451365322,0
F42022,10,EAO,1026,58.299591856351185,0
F42022,10,EAO,1027,51.072202346203426,0
F42022,10,EAO,1028,44.0,0
F42022,10,EAO,1029,42.376511254409365,0
F42022,10,EAO+M2,1000,20.472309858470226,0
F42022,10,EAO+M2,1001,56.89741046544714,0
F42022,10,EAO+M2,1002,53.25446619306422,0
F42022,10,EAO+M2,1003,33.34669342264283,0
F42022,10,EAO+M2,1004,35.530540595100206,0
F42022,10,EAO+M2,1005,22.082902737431823,0
F42022,10,EAO+M2,1006,30.060558146576568,0
F42022,10,EAO+M2,1007,46.57662102008658,0
F42022,10,EAO+M2,1008,48.71328870631942,0
F42022,10,EAO+M2,1009,48.0,0
F42022,10,EAO+M2,1010,66.0,0
F42022,10,EAO+M2,1011,56.403009698317646,0
F42022,10,EAO+M2,1012,54.0,0
F42022,10,EAO+M2,1013,58.4199014906045,0
F42022,10,EAO+M2,1014,32.9477659894236,0
F42022,10,EAO+M2,1015,49.26312422019021,0
F42022,10,EAO+M2,1016,41.47527025395732,0
F42022,10,EAO+M2,1017,44.39791328642684,0
F42022,10,EAO+M2,1018,25.657652687227937,0
F42022,10,EAO+M2,1019,59.0425178867672,0
F42022,10,EAO+M2,1020,33.676051370569326,0
F42022,10,EAO+M2,1021,47.109407209366054,0
F42022,10,EAO+M2,1022,39.35042887633779,0
F42022,10,EAO+M2,1023,38.185447582516645,0
F42022,10,EAO+M2,1024,40.16565526810257,0
F42022,10,EAO+M2,1025,57.35724362891756,0
F42022,10,EAO+M2,1026,44.447892895017844,0
F42022,10,EAO+M2,1027,40.5086761922455,0
F42022,10,EAO+M2,1028,41.657329747436165,0
F42022,10,EAO+M2,1029,23.725407585822836,0
F42022,10,EAO+feed,1000,18.541310227691042,0
F42022,10,EAO+feed,1001,54.0,0
F42022,10,EAO+feed,1002,35.072852378252264,0
F42022,10,EAO+feed,1003,48.99964507450625,0
F42022,10,EAO+feed,1004,75.58946333603672,0
F42022,10,EAO+feed,1005,37.79342529905239,0
F42022,10,EAO+feed,1006,23.330082729909236,0
F42022,10,EAO+feed,1007,39.69569901905561,0
F42022,10,EAO+feed,1008,49.442639786713926,0
F42022,10,EAO+feed,1009,24.949246855032357,0
F42022,10,EAO+feed,1010,52.024533662033264,0
F42022,10,EAO+feed,1011,33.46252655750334,0
F42022,10,EAO+feed,1012,80.93348345912216,0
F42022,10,EAO+feed,1013,70.17246268566532,0
F42022,10,EAO+feed,1014,55.95025865041066,0
F42022,10,EAO+feed,1015,27.873353281835193,0
F42022,10,EAO+feed,1016,26.915782846112506,0
F42022,10,EAO+feed,1017,32.95374900349066,0
F42022,10,EAO+feed,1018,31.721427954772707,0
F42022,10,EAO+feed,1019,27.895989073843907,0
F42022,10,EAO+feed,1020,55.228786242253136,0
F42022,10,EAO+feed,1021,44.0,0
F42022,10,EAO+feed,1022,40.06691210059728,0
F42022,10,EAO+feed,1023,44.136202755671775,0
F42022,10,EAO+feed,1024,41.26233945947013,0
F42022,10,EAO+feed,1025,58.90816451365322,0
F42022,10,EAO+feed,1026,58.299591856351185,0
F42022,10,EAO+feed,1027,51.072202346203426,0
F42022,10,EAO+feed,1028,44.0,0
F42022,10,EAO+feed,1029,42.376511254409365,0
F42022,10,RS-EAO,1000,20.472309858470226,0
F42022,10,RS-EAO,1001,56.89741046544714,0
F42022,10,RS-EAO,1002,53.25446619306422,0
F42022,10,RS-EAO,1003,33.34669342264283,0
F42022,10,RS-EAO,1004,35.530540595100206,0
F42022,10,RS-EAO,1005,22.082902737431823,0
F42022,10,RS-EAO,1006,30.060558146576568,0
F42022,10,RS-EAO,1007,46.57662102008658,0
F42022,10,RS-EAO,1008,48.71328870631942,0
F42022,10,RS-EAO,1009,48.0,0
F42022,10,RS-EAO,1010,66.0,0
F42022,10,RS-EAO,1011,56.403009698317646,0
F42022,10,RS-EAO,1012,54.0,0
F42022,10,RS-EAO,1013,58.4199014906045,0
F42022,10,RS-EAO,1014,32.9477659894236,0
F42022,10,RS-EAO,1015,49.26312422019021,0
F42022,10,RS-EAO,1016,41.47527025395732,0
F42022,10,RS-EAO,1017,44.39791328642684,0
F42022,10,RS-EAO,1018,25.657652687227937,0
F42022,10,RS-EAO,1019,59.0425178867672,0
F42022,10,RS-EAO,1020,33.676051370569326,0
F42022,10,RS-EAO,1021,47.109407209366054,0
F42022,10,RS-EAO,1022,39.35042887633779,0
F42022,10,RS-EAO,1023,38.185447582516645,0
F42022,10,RS-EAO,1024,40.16565526810257,0
F42022,10,RS-EAO,1025,57.35724362891756,0
F42022,10,RS-EAO,1026,44.447892895017844,0
F42022,10,RS-EAO,1027,40.5086761922455,0
F42022,10,RS-EAO,1028,41.657329747436165,0
F42022,10,RS-EAO,1029,23.725407585822836,0
F52022,10,EAO,1000,1.5854471939746873e-05,0
F52022,10,EAO,1001,2.018715508711466e-05,0
F52022,10,EAO,1002,1.4610452581109712e-07,0
F52022,10,EAO,1003,9.30729561332555e-06,0
F52022,10,EAO,1004,3.9543385810247855e-06,0
F52022,10,EAO,1005,7.4643265861595864e-06,0
F52022,10,EAO,1006,1.159004898454441e-05,0
F52022,10,EAO,1007,0.0895282505450723,0
F52022,10,EAO,1008,1.5776777217979543e-08,0
F52022,10,EAO,1009,2.0865195438091177e-07,0
F52022,10,EAO,1010,1.5766975252518023e-05,0
F52022,10,EAO,1011,1.822216484015371e-05,0
F52022,10,EAO,1012,0.08952825076471527,0
F52022,10,EAO,1013,4.467729013413191e-07,0
