problem,seed,f,viol,nfe,x,c1_selected,c2_selected,c1_accepted,c2_accepted,iters
reducer,1009,2994.4710661468202,0.0,45030,"[3.5000000000000004, 0.7, 17.49390625217037, 7.3, 7.715319911478251, 3.3502146660964485, 5.286654464980222]",0,15000,0,4977,500
reducer,1010,2994.4710661468202,0.0,45030,"[3.500000000000001, 0.7, 17.01569473571545, 7.300000000000002, 7.715319911478246, 3.3502146660964485, 5.286654464980222]",0,15000,0,5102,500
reducer,1011,2994.4710661468202,0.0,45030,"[3.5000000000000013, 0.7, 17.073543383625374, 7.300000000000011, 7.7153199114782485, 3.350214666096448, 5.286654464980222]",0,15000,0,4872,500
reducer,1012,2994.4710661468202,0.0,45030,"[3.5, 0.7, 17.097349904779687, 7.300000000000005, 7.7153199114782485, 3.350214666096448, 5.286654464980222]",0,15000,0,4465,500
reducer,1013,2994.4710661468202,0.0,45030,"[3.5000000000000004, 0.7, 17.45163338464936, 7.3, 7.715319911478252, 3.3502146660964485, 5.286654464980222]",0,15000,0,4748,500
reducer,1014,2994.4710661468207,0.0,45030,"[3.500000000000001, 0.7, 17.001113053005607, 7.300000000000064, 7.7153199114782485, 3.3502146660964485, 5.286654464980222]",0,15000,0,5094,500
reducer,1015,2994.4710661468202,0.0,45030,"[3.5, 0.7, 17.02852562792118, 7.3, 7.715319911478248, 3.35021466609645, 5.286654464980222]",0,15000,0,5177,500
reducer,1016,2994.4710661468202,0.0,45030,"[3.5, 0.7, 17.000308031145554, 7.300000000000001, 7.715319911478252, 3.3502146660964485, 5.286654464980222]",0,15000,0,4807,500
reducer,1017,2994.4710661468202,0.0,45030,"[3.500000000000001, 0.7, 17.00177815633919, 7.3, 7.715319911478245, 3.3502146660964485, 5.286654464980222]",0,15000,0,4623,500
reducer,1018,2994.4710661468202,0.0,45030,"[3.5000000000000004, 0.7, 17.09147101441155, 7.300000000000012, 7.715319911478247, 3.3502146660964485, 5.286654464980222]",0,15000,0,4975,500
reducer,1019,2994.4710661468202,0.0,45030,"[3.5000000000000013, 0.7, 17.449189511330918, 7.3, 7.715319911478248, 3.3502146660964485, 5.286654464980222]",0,15000,0,5157,500
reducer,1020,2994.4710661468207,0.0,45030,"[3.5000000000000013, 0.7, 17.35533150491531, 7.300000000000061, 7.71531991147825, 3.350214666096448, 5.286654464980222]",0,15000,0,5148,500
reducer,1021,2994.4710661468202,0.0,45030,"[3.5000000000000004, 0.7, 17.009109614316753, 7.300000000000017, 7.715319911478245, 3.350214666096448, 5.286654464980222]",0,15000,0,4609,500
reducer,1022,2994.4710661468202,0.0,45030,"[3.5000000000000004, 0.7, 17.471954507727663, 7.300000000000005, 7.7153199114782485, 3.350214666096448, 5.286654464980222]",0,15000,0,4522,500
reducer,1023,2994.4710661468202,0.0,45030,"[3.5, 0.7, 17.36778502731802, 7.3, 7.7153199114782485, 3.3502146660964494, 5.286654464980222]",0,15000,0,4806,500
reducer,1024,2994.4710661468202,0.0,45030,"[3.5, 0.7, 17.000497606801837, 7.300000000000017, 7.715319911478245, 3.350214666096449, 5.286654464980222]",0,15000,0,5251,500
reducer,1025,2994.4710661468202,0.0,45030,"[3.5000000000000013, 0.7, 17.029690903759057, 7.300000000000013, 7.715319911478246, 3.3502146660964485, 5.286654464980222]",0,15000,0,4882,500
reducer,1026,2994.4710661468202,0.0,45030,"[3.5, 0.7, 17.072594815025347, 7.3, 7.7153199114782485, 3.350214666096448, 5.286654464980222]",0,15000,0,4690,500
reducer,1027,2994.4710661468202,0.0,45030,"[3.5, 0.7, 17.0006696742762, 7.300000000000004, 7.715319911478245, 3.3502146660964494, 5.286654464980222]",0,15000,0,5201,500
reducer,1028,2994.4710661468202,0.0,45030,"[3.500000000000001, 0.7, 17.02458686419335, 7.300000000000007, 7.715319911478246, 3.350214666096448, 5.286654464980222]",0,15000,0,5226,500
reducer,1029,2994.4710661468202,0.0,45030,"[3.5000000000000004, 0.7, 17.00854403872491, 7.3000000000000105, 7.715319911478246, 3.3502146660964485, 5.286654464980222]",0,15000,0,5427,500
