problem,seed,f,viol,nfe,x,c1_selected,c2_selected,c1_accepted,c2_accepted,iters
vessel_relaxed,1011,5885.332773616458,0.0,45030,"[12.45069826200169, 6.15438660204643, 40.31961872409873, 199.99999999999977]",6,14994,2,4272,500
vessel_relaxed,1012,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046435, 40.31961872409874, 199.99999999999972]",5,14995,0,4274,500
vessel_relaxed,1013,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046434, 40.31961872409874, 199.99999999999972]",6,14994,1,4746,500
vessel_relaxed,1014,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046434, 40.31961872409874, 199.99999999999972]",1,14999,0,4081,500
vessel_relaxed,1015,5885.332773616458,0.0,45030,"[12.450698262001689, 6.154386602046434, 40.31961872409873, 199.9999999999998]",4,14996,0,4281,500
vessel_relaxed,1016,5885.332773616458,0.0,45030,"[12.450698262001689, 6.1543866020464355, 40.31961872409873, 199.99999999999977]",4,14996,1,4170,500
vessel_relaxed,1017,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046434, 40.31961872409874, 199.99999999999972]",5,14995,1,4322,500
vessel_relaxed,1018,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046435, 40.31961872409874, 199.99999999999972]",8,14992,6,4610,500
vessel_relaxed,1019,5885.332773616458,0.0,45030,"[12.450698262001689, 6.15438660204643, 40.31961872409873, 199.99999999999983]",1,14999,1,4260,500
vessel_relaxed,1020,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046431, 40.31961872409874, 199.99999999999974]",3,14997,2,4079,500
vessel_relaxed,1021,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046435, 40.31961872409874, 199.99999999999972]",7,14993,5,4427,500
vessel_relaxed,1022,5885.332773616458,0.0,45030,"[12.45069826200169, 6.15438660204643, 40.31961872409873, 199.99999999999977]",4,14996,2,4186,500
vessel_relaxed,1023,5885.332773616458,0.0,45030,"[12.450698262001689, 6.15438660204643, 40.31961872409873, 199.9999999999998]",1,14999,1,4027,500
vessel_relaxed,1024,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046431, 40.31961872409874, 199.99999999999972]",2,14998,0,4263,500
vessel_relaxed,1025,5885.332773616458,0.0,45030,"[12.45069826200169, 6.154386602046432, 40.31961872409874, 199.99999999999972]",6,14994,0,4194,500
vessel_relaxed,1026,5885.332773616458,0.0,45030,"[12.450698262001689, 6.1543866020464355, 40.31961872409873, 199.99999999999977]",4,14996,0,4059,500
vessel_relaxed,1027,5885.332773616458,0.0,45030,"[12.450698262001689, 6.154386602046434, 40.31961872409873, 199.9999999999998]",5,14995,2,3911,500
vessel_relaxed,1028,5885.332773616458,0.0,45030,"[12.45069826200169, 6.15438660204643, 40.31961872409873, 199.9999999999998]",7,14993,5,3976,500
vessel_relaxed,1029,5885.332773616458,0.0,45030,"[12.450698262001689, 6.154386602046433, 40.31961872409873, 199.99999999999977]",5,14995,2,4295,500
reducer,1000,2994.4710661468202,0.0,45030,"[3.5000000000000013, 0.7, 17.499937746871055, 7.3, 7.715319911478245, 3.3502146660964485, 5.286654464980222]",0,15000,0,4963,500
reducer,1001,2994.4710661468202,0.0,45030,"[3.500000000000001, 0.7, 17.012230538581292, 7.300000000000001, 7.715319911478248, 3.350214666096448, 5.286654464980222]",0,15000,0,5390,500
reducer,1002,2994.4710661468202,0.0,45030,"[3.5000000000000004, 0.7, 17.00138214721756, 7.300000000000005, 7.7153199114782485, 3.3502146660964485, 5.286654464980222]",0,15000,0,5187,500
reducer,1003,2994.4710661468202,0.0,45030,"[3.5000000000000013, 0.7, 17.0057271019593, 7.3, 7.715319911478252, 3.3502146660964485, 5.286654464980222]",0,15000,0,4666,500
reducer,1004,2994.4710661468202,0.0,45030,"[3.5000000000000013, 0.7, 17.015546413871647, 7.300000000000007, 7.7153199114782485, 3.350214666096448, 5.286654464980222]",0,15000,0,4934,500
reducer,1005,2994.4710661468202,0.0,45030,"[3.5, 0.7, 17.490620687423302, 7.3, 7.715319911478248, 3.3502146660964485, 5.286654464980222]",0,15000,0,4994,500
reducer,1006,2994.4710661468202,0.0,45030,"[3.5000000000000013, 0.7, 17.17870152156703, 7.300000000000001, 7.715319911478249, 3.3502146660964485, 5.286654464980222]",0,15000,0,4450,500
reducer,1007,2994.4710661468202,0.0,45030,"[3.5, 0.7, 17.00119526636747, 7.300000000000002, 7.7153199114782485, 3.350214666096449, 5.286654464980222]",0,15000,0,4938,500
reducer,1008,2994.4710661468202,0.0,45030,"[3.5000000000000013, 0.7, 17.001554567518077, 7.300000000000013, 7.715319911478245, 3.350214666096448, 5.286654464980222]",0,15000,0,5240,500
