function,dim,variant,seed,err,nfe,feeds,c1_acc,c2_acc
F12022,10,M1a_Km3.0,1024,1.1368683772161603e-13,,,,
F12022,10,M1a_Km3.0,1025,3.410605131648481e-13,,,,
F12022,10,M1a_Km3.0,1026,5.115907697472721e-13,,,,
F12022,10,M1a_Km3.0,1027,1.7053025658242404e-13,,,,
F12022,10,M1a_Km3.0,1028,2.18016452890879e-07,,,,
F12022,10,M1a_Km3.0,1029,1.7053025658242404e-13,,,,
F22022,10,M1a_Km0.1,1000,8.916101928043418,,,,
F22022,10,M1a_Km0.1,1001,0.24210602070837695,,,,
F22022,10,M1a_Km0.1,1002,8.916101927903469,,,,
F22022,10,M1a_Km0.1,1003,4.647367578527735,,,,
F22022,10,M1a_Km0.1,1004,8.916111298413398,,,,
F22022,10,M1a_Km0.1,1005,5.825368704603136,,,,
F22022,10,M1a_Km0.1,1006,8.916102001942818,,,,
F22022,10,M1a_Km0.1,1007,5.219822043477393,,,,
F22022,10,M1a_Km0.1,1008,8.916102695572874,,,,
F22022,10,M1a_Km0.1,1009,6.209068110184035,,,,
F22022,10,M1a_Km0.1,1010,8.91610266901938,,,,
F22022,10,M1a_Km0.1,1011,5.959012580003048,,,,
F22022,10,M1a_Km0.1,1012,6.157399547654904,,,,
F22022,10,M1a_Km0.1,1013,8.916101929635545,,,,
F22022,10,M1a_Km0.1,1014,4.009247966589214,,,,
F22022,10,M1a_Km0.1,1015,0.13687535728507783,,,,
F22022,10,M1a_Km0.1,1016,4.020863834573959,,,,
F22022,10,M1a_Km0.1,1017,4.468942855203522,,,,
F22022,10,M1a_Km0.1,1018,8.916604413669006,,,,
F22022,10,M1a_Km0.1,1019,0.06814432564556228,,,,
F22022,10,M1a_Km0.1,1020,5.1445519946941545,,,,
F22022,10,M1a_Km0.1,1021,5.075627668879747,,,,
F22022,10,M1a_Km0.1,1022,0.00013488468590594493,,,,
F22022,10,M1a_Km0.1,1023,8.916101930423565,,,,
F22022,10,M1a_Km0.1,1024,8.91610781389494,,,,
F22022,10,M1a_Km0.1,1025,4.866870742336573,,,,
F22022,10,M1a_Km0.1,1026,3.9886380239406662,,,,
F22022,10,M1a_Km0.1,1027,4.698976546997301,,,,
F22022,10,M1a_Km0.1,1028,0.10763526035248105,,,,
F22022,10,M1a_Km0.1,1029,8.916101932066397,,,,
F22022,10,M1a_Km0.3,1000,8.916101927785462,,,,
F22022,10,M1a_Km0.3,1001,8.91610192779001,,,,
F22022,10,M1a_Km0.3,1002,0.4533616628820596,,,,
F22022,10,M1a_Km0.3,1003,4.077804194429291,,,,
F22022,10,M1a_Km0.3,1004,8.916101927781597,,,,
F22022,10,M1a_Km0.3,1005,0.29552282067038504,,,,
F22022,10,M1a_Km0.3,1006,7.1599360905166805,,,,
F22022,10,M1a_Km0.3,1007,0.41303561845973036,,,,
F22022,10,M1a_Km0.3,1008,0.1750507880965415,,,,
F22022,10,M1a_Km0.3,1009,0.08946387193731198,,,,
F22022,10,M1a_Km0.3,1010,8.916101927786997,,,,
F22022,10,M1a_Km0.3,1011,6.2802252061553645,,,,
F22022,10,M1a_Km0.3,1012,6.591844975703168,,,,
F22022,10,M1a_Km0.3,1013,8.916101927828947,,,,
F22022,10,M1a_Km0.3,1014,6.853299215386528,,,,
