t,AF,variant
167,0.5779273310719956,EAO+M2
168,0.5796550698475775,EAO+M2
169,0.5813776741499453,EAO+M2
170,0.5830951894845301,EAO+M2
171,0.5848076606885378,EAO+M2
172,0.5865151319446071,EAO+M2
173,0.5882176467941097,EAO+M2
174,0.589915248150105,EAO+M2
175,0.5916079783099616,EAO+M2
176,0.593295878967653,EAO+M2
177,0.5949789912257406,EAO+M2
178,0.5966573556070519,EAO+M2
179,0.5983310120660636,EAO+M2
180,0.6,EAO+M2
181,0.6016643582596529,EAO+M2
182,0.6033241251599343,EAO+M2
183,0.6049793384901669,EAO+M2
184,0.6066300355241241,EAO+M2
185,0.6082762530298219,EAO+M2
186,0.6099180272790763,EAO+M2
187,0.6115553940568262,EAO+M2
188,0.6131883886702356,EAO+M2
189,0.6148170459575759,EAO+M2
190,0.6164414002968976,EAO+M2
191,0.6180614856144977,EAO+M2
192,0.6196773353931867,EAO+M2
193,0.6212889826803627,EAO+M2
194,0.6228964600958975,EAO+M2
195,0.6244997998398398,EAO+M2
196,0.6260990336999411,EAO+M2
197,0.6276941930590086,EAO+M2
198,0.6292853089020909,EAO+M2
199,0.6308724118235002,EAO+M2
200,0.6324555320336759,EAO+M2
201,0.6340346993658943,EAO+M2
202,0.6356099432828282,EAO+M2
203,0.6371812928829597,EAO+M2
204,0.6387487769068525,EAO+M2
205,0.6403124237432849,EAO+M2
206,0.6418722614352484,EAO+M2
207,0.6434283176858164,EAO+M2
208,0.644980619863884,EAO+M2
209,0.6465291950097846,EAO+M2
210,0.648074069840786,EAO+M2
211,0.6496152707564686,EAO+M2
212,0.6511528238439882,EAO+M2
213,0.6526867548832288,EAO+M2
214,0.6542170893518451,EAO+M2
215,0.6557438524302001,EAO+M2
216,0.6572670690061994,EAO+M2
217,0.6587867636800242,EAO+M2
218,0.6603029607687672,EAO+M2
219,0.6618156843109719,EAO+M2
220,0.6633249580710799,EAO+M2
221,0.6648308055437865,EAO+M2
222,0.6663332499583072,EAO+M2
223,0.66783231428256,EAO+M2
224,0.6693280212272604,EAO+M2
225,0.6708203932499369,EAO+M2
226,0.6723094525588644,EAO+M2
227,0.6737952211169207,EAO+M2
228,0.6752777206453653,EAO+M2
229,0.6767569726275452,EAO+M2
230,0.6782329983125268,EAO+M2
231,0.6797058187186572,EAO+M2
232,0.6811754546370561,EAO+M2
233,0.6826419266350405,EAO+M2
234,0.6841052550594828,EAO+M2
235,0.6855654600401044,EAO+M2
236,0.6870225614927067,EAO+M2
237,0.6884765791223402,EAO+M2
238,0.6899275324264136,EAO+M2
239,0.6913754406977441,EAO+M2
240,0.6928203230275509,EAO+M2
241,0.6942621983083913,EAO+M2
242,0.6957010852370434,EAO+M2
243,0.697137002317335,EAO+M2
244,0.6985699678629192,EAO+M2
245,0.7,EAO+M2
246,0.7014271166700072,EAO+M2
247,0.7028513356322231,EAO+M2
248,0.7042726744663603,EAO+M2
249,0.705691150575094,EAO+M2
250,0.7071067811865476,EAO+M2
251,0.708519583356734,EAO+M2
252,0.7099295739719539,EAO+M2
253,0.7113367697511496,EAO+M2
254,0.7127411872482184,EAO+M2
255,0.714142842854285,EAO+M2
256,0.7155417527999327,EAO+M2
257,0.7169379331573968,EAO+M2
258,0.7183313998427189,EAO+M2
259,0.7197221686178633,EAO+M2
260,0.7211102550927979,EAO+M2
261,0.7224956747275377,EAO+M2
262,0.7238784428341544,EAO+M2
263,0.7252585745787499,EAO+M2
264,0.726636084983398,EAO+M2
265,0.7280109889280518,EAO+M2
266,0.7293833011524188,EAO+M2
267,0.7307530362578044,EAO+M2
268,0.7321202087089251,EAO+M2
269,0.73348483283569,EAO+M2
270,0.7348469228349535,EAO+M2
271,0.7362064927722385,EAO+M2
272,0.737563556583431,EAO+M2
273,0.7389181280764466,EAO+M2
274,0.7402702209328699,EAO+M2
275,0.7416198487095663,EAO+M2
276,0.7429670248402684,EAO+M2
277,0.7443117626371358,EAO+M2
278,0.74565407529229,EAO+M2
279,0.7469939758793239,EAO+M2
280,0.7483314773547883,EAO+M2
281,0.7496665925596525,EAO+M2
282,0.7509993342207435,EAO+M2
283,0.752329714952161,EAO+M2
284,0.7536577472566709,EAO+M2
285,0.7549834435270749,EAO+M2
286,0.7563068160475614,EAO+M2
287,0.7576278769950324,EAO+M2
288,0.758946638440411,EAO+M2
289,0.7602631123499285,EAO+M2
290,0.7615773105863908,EAO+M2
291,0.762889244910426,EAO+M2
292,0.764198926981712,EAO+M2
293,0.7655063683601855,EAO+M2
294,0.7668115805072325,EAO+M2
295,0.7681145747868608,EAO+M2
296,0.7694153624668538,EAO+M2
297,0.7707139547199077,EAO+M2
298,0.7720103626247513,EAO+M2
299,0.7733045971672482,EAO+M2
300,0.7745966692414834,EAO+M2
301,0.7758865896508329,EAO+M2
302,0.7771743691090179,EAO+M2
303,0.7784600182411425,EAO+M2
304,0.7797435475847171,EAO+M2
305,0.7810249675906654,EAO+M2
306,0.7823042886243179,EAO+M2
307,0.7835815209663893,EAO+M2
308,0.7848566748139434,EAO+M2
309,0.7861297602813418,EAO+M2
310,0.7874007874011811,EAO+M2
311,0.7886697661252141,EAO+M2
312,0.7899367063252599,EAO+M2
313,0.7912016177940993,EAO+M2
314,0.792464510246358,EAO+M2
315,0.7937253933193772,EAO+M2
316,0.7949842765740717,EAO+M2
317,0.7962411694957753,EAO+M2
318,0.7974960814950754,EAO+M2
319,0.7987490219086343,EAO+M2
320,0.8,EAO+M2
321,0.8012490249604052,EAO+M2
322,0.8024961059095552,EAO+M2
323,0.8037412518964048,EAO+M2
324,0.8049844718999243,EAO+M2
325,0.806225774829855,EAO+M2
326,0.807465169527454,EAO+M2
327,0.8087026647662292,EAO+M2
328,0.8099382692526635,EAO+M2
329,0.8111719916269299,EAO+M2
330,0.812403840463596,EAO+M2
331,0.8136338242723197,EAO+M2
332,0.8148619514985346,EAO+M2
333,0.8160882305241266,EAO+M2
334,0.817312669668102,EAO+M2
335,0.8185352771872451,EAO+M2
336,0.8197560612767679,EAO+M2
337,0.8209750300709517,EAO+M2
338,0.8221921916437787,EAO+M2
339,0.8234075540095561,EAO+M2
340,0.8246211251235321,EAO+M2
341,0.8258329128825032,EAO+M2
342,0.8270429251254133,EAO+M2
343,0.8282511696339463,EAO+M2
344,0.8294576541331088,EAO+M2
345,0.8306623862918074,EAO+M2
346,0.8318653737234168,EAO+M2
347,0.8330666239863411,EAO+M2
348,0.8342661445845684,EAO+M2
349,0.8354639429682169,EAO+M2
350,0.8366600265340756,EAO+M2
351,0.8378544026261364,EAO+M2
352,0.8390470785361213,EAO+M2
353,0.8402380615040002,EAO+M2
354,0.8414273587185052,EAO+M2
355,0.8426149773176358,EAO+M2
356,0.8438009243891594,EAO+M2
357,0.8449852069711044,EAO+M2
358,0.8461678320522472,EAO+M2
359,0.8473488065725944,EAO+M2
360,0.848528137423857,EAO+M2
361,0.8497058314499201,EAO+M2
362,0.8508818954473059,EAO+M2
363,0.8520563361656317,EAO+M2
364,0.8532291603080616,EAO+M2
365,0.8544003745317531,EAO+M2
366,0.8555699854482975,EAO+M2
367,0.8567379996241558,EAO+M2
368,0.8579044235810886,EAO+M2
369,0.8590692637965812,EAO+M2
370,0.8602325267042626,EAO+M2
371,0.8613942186943212,EAO+M2
372,0.862554346113913,EAO+M2
373,0.8637129152675673,EAO+M2
374,0.8648699324175861,EAO+M2
375,0.8660254037844386,EAO+M2
376,0.867179335547152,EAO+M2
377,0.8683317338436964,EAO+M2
378,0.8694826047713663,EAO+M2
379,0.8706319543871567,EAO+M2
380,0.8717797887081347,EAO+M2
381,0.8729261137118078,EAO+M2
382,0.8740709353364863,EAO+M2
383,0.8752142594816426,EAO+M2
384,0.8763560920082658,EAO+M2
385,0.8774964387392122,EAO+M2
386,0.8786353054595518,EAO+M2
387,0.8797726979169108,EAO+M2
388,0.8809086218218096,EAO+M2
389,0.8820430828479978,EAO+M2
390,0.8831760866327847,EAO+M2
391,0.8843076387773657,EAO+M2
392,0.8854377448471462,EAO+M2
393,0.8865664103720601,EAO+M2
394,0.8876936408468858,EAO+M2
395,0.8888194417315589,EAO+M2
396,0.8899438184514796,EAO+M2
397,0.8910667763978186,EAO+M2
398,0.8921883209278185,EAO+M2
399,0.8933084573650918,EAO+M2
400,0.8944271909999159,EAO+M2
401,0.8955445270895245,EAO+M2
402,0.8966604708583958,EAO+M2
403,0.8977750274985377,EAO+M2
404,0.8988882021697693,EAO+M2
405,0.9,EAO+M2
406,0.9011104260855048,EAO+M2
407,0.9022194854911968,EAO+M2
408,0.9033271832508971,EAO+M2
409,0.904433524367601,EAO+M2
410,0.9055385138137416,EAO+M2
411,0.906642156531451,EAO+M2
412,0.9077444574328174,EAO+M2
413,0.908845421400141,EAO+M2
414,0.909945053286186,EAO+M2
415,0.9110433579144299,EAO+M2
416,0.9121403400793103,EAO+M2
417,0.9132360045464699,EAO+M2
418,0.9143303560529968,EAO+M2
419,0.9154233993076646,EAO+M2
420,0.916515138991168,EAO+M2
421,0.9176055797563569,EAO+M2
422,0.9186947262284682,EAO+M2
423,0.9197825830053535,EAO+M2
424,0.920869154657707,EAO+M2
425,0.9219544457292888,EAO+M2
426,0.9230384607371461,EAO+M2
427,0.9241212041718337,EAO+M2
428,0.9252026804976302,EAO+M2
429,0.9262828941527529,EAO+M2
430,0.9273618495495703,EAO+M2
431,0.9284395510748128,EAO+M2
432,0.92951600308978,EAO+M2
433,0.9305912099305473,EAO+M2
434,0.9316651759081692,EAO+M2
435,0.9327379053088815,EAO+M2
436,0.9338094023943002,EAO+M2
437,0.9348796714016194,EAO+M2
438,0.9359487165438072,EAO+M2
439,0.9370165420097982,EAO+M2
440,0.938083151964686,EAO+M2
441,0.9391485505499116,EAO+M2
442,0.9402127418834527,EAO+M2
443,0.9412757300600074,EAO+M2
444,0.9423375191511797,EAO+M2
445,0.9433981132056604,EAO+M2
446,0.9444575162494075,EAO+M2
447,0.9455157322858251,EAO+M2
448,0.9465727652959386,EAO+M2
449,0.9476286192385707,EAO+M2
450,0.9486832980505138,EAO+M2
451,0.9497368056467013,EAO+M2
452,0.950789145920377,EAO+M2
453,0.9518403227432635,EAO+M2
454,0.9528903399657277,EAO+M2
455,0.9539392014169457,EAO+M2
456,0.9549869109050658,EAO+M2
457,0.9560334722173696,EAO+M2
458,0.9570788891204319,EAO+M2
459,0.9581231653602788,EAO+M2
460,0.9591663046625439,EAO+M2
461,0.9602083107326244,EAO+M2
462,0.9612491872558333,EAO+M2
463,0.9622889378975527,EAO+M2
464,0.9633275663033837,EAO+M2
465,0.9643650760992956,EAO+M2
466,0.9654014708917736,EAO+M2
467,0.9664367542679656,EAO+M2
468,0.9674709297958259,EAO+M2
