t,AF,S,fed,variant
245,0.9988659295807644,0.00011353579951532045,0,EAO+M1
246,0.9984855505676893,0.00015167464681383323,0,EAO+M1
247,0.9980480157609395,0.00019558019336096927,0,EAO+M1
248,0.9935513236041807,0.0006490531734612538,0,EAO+M1
249,0.9884276068995835,0.0011707881305253877,0,EAO+M1
250,0.9778325277650404,0.00226700090307143,0,EAO+M1
251,0.9744536858530584,0.002621603727074811,0,EAO+M1
252,0.9722721514394725,0.0028518608210135136,0,EAO+M1
253,0.9788558936410753,0.0021600836748578395,0,EAO+M1
254,0.9830869575704071,0.0017204014659488178,0,EAO+M1
255,0.9886885250092462,0.0011440888312775738,0,EAO+M1
256,0.9911891368184902,0.0008889184570556189,0,EAO+M1
257,0.9923643101173416,0.0007694442257557091,0,EAO+M1
258,0.9932174582129051,0.000682885880731369,0,EAO+M1
259,0.9924008415805116,0.0007657347818635396,0,EAO+M1
260,0.9912510855299851,0.000882613355761141,0,EAO+M1
261,0.9890963945222452,0.0011023804695013079,0,EAO+M1
262,0.9856053584565136,0.0014604873461756321,0,EAO+M1
263,0.9877778754585381,0.0012373353205332935,0,EAO+M1
264,0.9919965596818507,0.0008068012172054402,0,EAO+M1
265,0.9955084925836603,0.0004511772074071272,0,EAO+M1
266,0.9959627541667043,0.0004053611258458714,0,EAO+M1
267,0.9960206733916914,0.000399522491311148,0,EAO+M1
268,0.9959617709576559,0.00040546024557360123,0,EAO+M1
269,0.9948658333607407,0.0005160662339680087,0,EAO+M1
270,0.9909189062294314,0.0009164315781523807,0,EAO+M1
271,0.9881162797318621,0.0012026641511627297,0,EAO+M1
272,0.992557510217549,0.0007498295772120774,0,EAO+M1
273,0.9910787621615955,0.000900154274211947,0,EAO+M1
274,0.9923451830527669,0.0007713865173088794,0,EAO+M1
275,0.9919272723938853,0.0008138426909698915,0,EAO+M1
276,0.9909719812101263,0.0009110266446533784,0,EAO+M1
277,0.9846163455621469,0.0015624008790012544,0,EAO+M1
278,0.9825968969236155,0.0017711335269703589,0,EAO+M1
279,0.971210273340194,0.002964314469285017,0,EAO+M1
280,0.973679581160036,0.0027031910034105984,0,EAO+M1
281,0.9827686312579725,0.0017533494857249142,0,EAO+M1
282,0.9883067895697398,0.001183155934338042,0,EAO+M1
283,0.991593246754753,0.0008478025917139166,0,EAO+M1
284,0.9950323426369493,0.0004992458184711771,0,EAO+M1
285,0.9956000085142868,0.0004419436970756256,0,EAO+M1
286,0.9953593223269678,0.00046623139693745925,0,EAO+M1
287,0.9956698252617939,0.0004349006697142324,0,EAO+M1
288,0.9966765660019877,0.0003334516041993186,0,EAO+M1
289,0.9967535798963562,0.0003256993673382517,0,EAO+M1
290,0.9972397553478277,0.00027678846910886745,0,EAO+M1
291,0.9974103357002518,0.0002596388073249794,0,EAO+M1
292,0.9981604550569076,0.0001842935105045264,0,EAO+M1
293,0.9988336062401076,0.00011677558229974182,0,EAO+M1
294,0.9984919566324986,0.00015103209970638003,0,EAO+M1
295,0.998626207843461,0.00013756820577597996,0,EAO+M1
296,0.9988361961407919,0.00011651598767692674,0,EAO+M1
297,0.9983054517967289,0.00016974245710281067,0,EAO+M1
298,0.9977388661183244,0.00022662581948646414,0,EAO+M1
299,0.9964707319407957,0.0003541767907553488,0,EAO+M1
300,0.9952988012406287,0.0004723404422381787,0,EAO+M1
301,0.9937402752922911,0.0006299155688208082,0,EAO+M1
302,0.992113135839388,0.0007949561270488842,0,EAO+M1
303,0.9936519048347989,0.0006388650929277391,0,EAO+M1
304,0.9949956259044005,0.0005029543814376891,0,EAO+M1
305,0.9966867479545662,0.0003324266177144757,0,EAO+M1
306,0.9978310703398314,0.0002173644141417549,0,EAO+M1
307,0.9988997532536842,0.00011014586225815395,0,EAO+M1
308,0.9985556658149286,0.00014464233036949858,0,EAO+M1
309,0.9973738335490621,0.0002633081360870486,0,EAO+M1
310,0.9960152540793761,0.00040006876443945787,0,EAO+M1
311,0.9954695301274078,0.00045510884416647,0,EAO+M1
312,0.992108244951241,0.0007954530253044042,0,EAO+M1
313,0.9860272138273691,0.0014170791613746625,0,EAO+M1
314,0.9805138745442359,0.0019873380644227705,0,EAO+M1
315,0.9833432135734239,0.0016938934643221909,0,EAO+M1
316,0.9883988140458921,0.0011737353170851964,0,EAO+M1
317,0.9931115168084335,0.0006936263526279622,0,EAO+M1
318,0.9889076687845068,0.001121675113423594,0,EAO+M1
319,0.9889427231997868,0.0011180907185844525,0,EAO+M1
320,0.9916632251488657,0.0008406860958147095,0,EAO+M1
321,0.9945023660157276,0.0005528025042612542,0,EAO+M1
322,0.996464341501305,0.0003548203735387079,0,EAO+M1
323,0.9968939504482588,0.00031157271546733374,0,EAO+M1
324,0.9976802962755473,0.00023250972612293136,0,EAO+M1
325,0.9986866229366648,0.00013151042911471503,0,EAO+M1
326,0.9992722279408924,7.283020970243468e-05,0,EAO+M1
327,0.9995493635386641,4.508396261096049e-05,0,EAO+M1
328,0.9997143356438072,2.8574598363527883e-05,0,EAO+M1
329,0.9998150514080913,1.8498280421786857e-05,0,EAO+M1
330,0.9998607392839282,1.3928011231999337e-05,0,EAO+M1
331,0.9998917911747026,1.0822053571438038e-05,0,EAO+M1
332,0.9999055826258274,9.442628965496827e-06,0,EAO+M1
333,0.9999365895261016,6.341449504152703e-06,0,EAO+M1
334,0.999960888855663,3.911267407842636e-06,0,EAO+M1
335,0.9999670720256951,3.2929058592071788e-06,0,EAO+M1
336,0.999976175587645,2.3824979971204437e-06,0,EAO+M1
337,0.9999823688888354,1.76314220261107e-06,0,EAO+M1
338,0.9999843697182902,1.5630526019361696e-06,0,EAO+M1
339,0.9999877174562359,1.2282694626776487e-06,0,EAO+M1
340,0.9999846702910041,1.5329943999433902e-06,0,EAO+M1
