function,dim,variant,seed,err,iters,c1_acc,c2_acc
F22022,10,code3|centroid,1022,6.161140515814623e-05,166,2364,2028
F22022,10,code3|centroid,1023,8.916101927781312,166,1238,1424
F22022,10,code3|centroid,1024,4.107513601996857,166,970,2120
F22022,10,code3|centroid,1025,4.001659921405235,166,940,2460
F22022,10,code3|centroid,1026,3.9865804155804767,166,2175,2117
F22022,10,code3|centroid,1027,3.9865791135620725,166,2181,2138
F22022,10,code3|centroid,1028,3.9866083741136435,166,2348,2020
F22022,10,code3|centroid,1029,8.91610192778137,166,1438,1265
F22022,10,paper2|orig,1000,8.91610192778137,250,31,3459
F22022,10,paper2|orig,1001,8.916101927800128,250,32,2812
F22022,10,paper2|orig,1002,8.916101927783586,250,38,3463
F22022,10,paper2|orig,1003,5.659959916200876,250,31,3663
F22022,10,paper2|orig,1004,8.91610192778137,250,33,3417
F22022,10,paper2|orig,1005,5.160385029862994,250,32,1395
F22022,10,paper2|orig,1006,8.91610192778245,250,25,3383
F22022,10,paper2|orig,1007,5.15043249194963,250,33,2015
F22022,10,paper2|orig,1008,4.89882323027922,250,32,2631
F22022,10,paper2|orig,1009,8.916101927781312,249,40,3078
F22022,10,paper2|orig,1010,8.91610192778137,250,30,3261
F22022,10,paper2|orig,1011,4.286201651817464,250,35,1362
F22022,10,paper2|orig,1012,4.322409650430359,249,32,2154
F22022,10,paper2|orig,1013,0.0795870478376628,249,29,1513
F22022,10,paper2|orig,1014,6.8481745625798,250,27,3817
F22022,10,paper2|orig,1015,8.91610192778137,250,34,3478
F22022,10,paper2|orig,1016,8.916101927794216,250,35,2932
F22022,10,paper2|orig,1017,8.916101927781426,250,56,3509
F22022,10,paper2|orig,1018,8.91610192778137,249,41,3261
F22022,10,paper2|orig,1019,5.379676742249899,250,30,2448
F22022,10,paper2|orig,1020,8.91610192778137,250,35,3151
F22022,10,paper2|orig,1021,0.35591392592624516,250,40,3379
F22022,10,paper2|orig,1022,8.916101927781426,249,35,3096
F22022,10,paper2|orig,1023,4.1592025414304885,250,34,1315
F22022,10,paper2|orig,1024,4.84872886900655,250,27,2463
F22022,10,paper2|orig,1025,4.3099425368758375,250,38,2667
F22022,10,paper2|orig,1026,8.916101927799787,250,28,2673
F22022,10,paper2|orig,1027,4.617337396456662,250,38,1428
F22022,10,paper2|orig,1028,0.4048332624992099,250,37,3925
F22022,10,paper2|orig,1029,8.91610192778137,250,31,3323
F22022,10,paper2|centroid,1000,4.347825423839765,250,917,2635
F22022,10,paper2|centroid,1001,4.040867176775464,250,2047,2455
F22022,10,paper2|centroid,1002,4.114950625812867,250,1253,3095
F22022,10,paper2|centroid,1003,4.064974585548953,249,2153,1521
F22022,10,paper2|centroid,1004,5.318883683618765,250,167,2347
F22022,10,paper2|centroid,1005,4.040278176342099,250,2810,1620
F22022,10,paper2|centroid,1006,8.91610192778137,249,693,2440
F22022,10,paper2|centroid,1007,4.0198170040386,250,2258,2116
F22022,10,paper2|centroid,1008,8.916101927781312,248,1838,1343
F22022,10,paper2|centroid,1009,8.91610192778137,248,1973,1313
F22022,10,paper2|centroid,1010,0.03117226363320924,250,956,1799
F22022,10,paper2|centroid,1011,4.113256609863754,250,1992,1652
F22022,10,paper2|centroid,1012,4.073324139707495,250,1499,2481
F22022,10,paper2|centroid,1013,8.916101927781426,249,1664,1399
F22022,10,paper2|centroid,1014,4.018698200489212,250,1586,1754
F22022,10,paper2|centroid,1015,6.222810824514511,250,157,1650
F22022,10,paper2|centroid,1016,8.91610192778461,250,735,2754
F22022,10,paper2|centroid,1017,8.91610193116253,250,175,2150
F22022,10,paper2|centroid,1018,6.670300540374967,250,154,1860
F22022,10,paper2|centroid,1019,8.916101927781824,250,238,3063
F22022,10,paper2|centroid,1020,5.224337558355046,250,163,1651
F22022,10,paper2|centroid,1021,8.91610192778137,249,1540,1582
F22022,10,paper2|centroid,1022,8.91610192778137,248,1970,1381
F22022,10,paper2|centroid,1023,4.1667174102099125,250,1221,2610
F22022,10,paper2|centroid,1024,8.916101927781426,249,1968,1349
F22022,10,paper2|centroid,1025,8.916101927784268,250,203,2901
F22022,10,paper2|centroid,1026,8.916101927781312,248,1891,1323
F22022,10,paper2|centroid,1027,4.0402260060465665,250,2754,1993
F22022,10,paper2|centroid,1028,8.91610192778137,248,1846,1370
F22022,10,paper2|centroid,1029,8.916101927781312,248,2102,1377
