function,dim,variant,seed,err
F42022,10,RS-EAO(sched),1005,31.333117189718223
F42022,10,RS-EAO(sched),1006,20.869589840735216
F42022,10,RS-EAO(sched),1007,51.52435783922067
F42022,10,RS-EAO(sched),1008,28.82085755854382
F42022,10,RS-EAO(sched),1009,25.147374217558763
F42022,10,RS-EAO(sched),1010,44.000148199091655
F42022,10,RS-EAO(sched),1011,47.85963122223097
F42022,10,RS-EAO(sched),1012,37.489989104729716
F42022,10,RS-EAO(sched),1013,58.85856237062637
F42022,10,RS-EAO(sched),1014,34.71660605683962
F42022,10,RS-EAO(sched),1015,28.086870271059297
F42022,10,RS-EAO(sched),1016,42.391493452547934
F42022,10,RS-EAO(sched),1017,25.366150645989705
F42022,10,RS-EAO(sched),1018,54.0
F42022,10,RS-EAO(sched),1019,72.80112518917429
F42022,10,RS-EAO(sched),1020,54.38208008934191
F42022,10,RS-EAO(sched),1021,50.0
F42022,10,RS-EAO(sched),1022,54.24509603259719
F42022,10,RS-EAO(sched),1023,37.25110331977464
F42022,10,RS-EAO(sched),1024,51.298396065800375
F42022,10,RS-EAO(sched),1025,75.18526162343755
F42022,10,RS-EAO(sched),1026,58.0
F42022,10,RS-EAO(sched),1027,14.561492339771803
F42022,10,RS-EAO(sched),1028,37.93968132729992
F42022,10,RS-EAO(sched),1029,40.26731742402853
F52022,10,EAO,1000,0.00019036909645819833
F52022,10,EAO,1001,4.4131164486316266e-05
F52022,10,EAO,1002,2.842170943040401e-10
F52022,10,EAO,1003,3.123817577943555e-07
F52022,10,EAO,1004,2.76764581030875e-07
F52022,10,EAO,1005,0.08952898866652959
F52022,10,EAO,1006,7.620374162797816e-07
F52022,10,EAO,1007,1.524636445537908e-06
F52022,10,EAO,1008,2.6789280127559323e-08
F52022,10,EAO,1009,1.006999923447438e-06
F52022,10,EAO,1010,5.6300704613931885e-05
F52022,10,EAO,1011,5.38098447577795e-07
F52022,10,EAO,1012,5.836195805386524e-05
F52022,10,EAO,1013,2.40581982779986e-06
F52022,10,EAO,1014,3.305396603536792e-06
F52022,10,EAO,1015,9.168744554699515e-07
F52022,10,EAO,1016,4.76014949981618e-05
F52022,10,EAO,1017,2.0791544557141606e-06
F52022,10,EAO,1018,1.8475504930393072e-06
F52022,10,EAO,1019,2.8568040534082684e-05
F52022,10,EAO,1020,2.093135401537438e-05
F52022,10,EAO,1021,0.00037436981199334696
F52022,10,EAO,1022,0.08987249235929085
F52022,10,EAO,1023,2.4299064307342633e-06
F52022,10,EAO,1024,0.08952939984158093
F52022,10,EAO,1025,4.790288130607223e-07
F52022,10,EAO,1026,0.08952878588570456
F52022,10,EAO,1027,0.08952965870855678
F52022,10,EAO,1028,1.4619949411098787e-05
F52022,10,EAO,1029,1.1757796187339409e-05
F52022,10,RS-EAO(centroid),1000,0.08952825041660617
F52022,10,RS-EAO(centroid),1001,2.2737367544323206e-13
F52022,10,RS-EAO(centroid),1002,0.0
F52022,10,RS-EAO(centroid),1003,0.0
F52022,10,RS-EAO(centroid),1004,0.0
F52022,10,RS-EAO(centroid),1005,1.1368683772161603e-13
F52022,10,RS-EAO(centroid),1006,0.0
F52022,10,RS-EAO(centroid),1007,0.0
F52022,10,RS-EAO(centroid),1008,0.0
F52022,10,RS-EAO(centroid),1009,2.2737367544323206e-13
F52022,10,RS-EAO(centroid),1010,2.2737367544323206e-13
F52022,10,RS-EAO(centroid),1011,0.0
F52022,10,RS-EAO(centroid),1012,1.1368683772161603e-13
F52022,10,RS-EAO(centroid),1013,0.0
F52022,10,RS-EAO(centroid),1014,0.0
F52022,10,RS-EAO(centroid),1015,2.2737367544323206e-13
F52022,10,RS-EAO(centroid),1016,1.1368683772161603e-13
F52022,10,RS-EAO(centroid),1017,1.1368683772161603e-13
F52022,10,RS-EAO(centroid),1018,2.2737367544323206e-13
F52022,10,RS-EAO(centroid),1019,2.2737367544323206e-13
F52022,10,RS-EAO(centroid),1020,0.0
F52022,10,RS-EAO(centroid),1021,1.1368683772161603e-13
F52022,10,RS-EAO(centroid),1022,0.0
F52022,10,RS-EAO(centroid),1023,1.1368683772161603e-13
F52022,10,RS-EAO(centroid),1024,1.1368683772161603e-13
F52022,10,RS-EAO(centroid),1025,0.0
F52022,10,RS-EAO(centroid),1026,0.09297136890472757
F52022,10,RS-EAO(centroid),1027,0.08952825041649248
F52022,10,RS-EAO(centroid),1028,0.0
F52022,10,RS-EAO(centroid),1029,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1000,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1001,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1002,4.547473508864641e-13
F52022,10,RS-EAO(sched),1003,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1004,0.0
F52022,10,RS-EAO(sched),1005,0.0
F52022,10,RS-EAO(sched),1006,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1007,0.0
F52022,10,RS-EAO(sched),1008,1.1368683772161603e-13
F52022,10,RS-EAO(sched),1009,0.0
