t,AF,variant
252,0.7099295739719539,EAO
253,0.7113367697511496,EAO
254,0.7127411872482184,EAO
255,0.714142842854285,EAO
256,0.7155417527999327,EAO
257,0.7169379331573968,EAO
258,0.7183313998427189,EAO
259,0.7197221686178633,EAO
260,0.7211102550927979,EAO
261,0.7224956747275377,EAO
262,0.7238784428341544,EAO
263,0.7252585745787499,EAO
264,0.726636084983398,EAO
265,0.7280109889280518,EAO
266,0.7293833011524188,EAO
267,0.7307530362578044,EAO
268,0.7321202087089251,EAO
269,0.73348483283569,EAO
270,0.7348469228349535,EAO
271,0.7362064927722385,EAO
272,0.737563556583431,EAO
273,0.7389181280764466,EAO
274,0.7402702209328699,EAO
275,0.7416198487095663,EAO
276,0.7429670248402684,EAO
277,0.7443117626371358,EAO
278,0.74565407529229,EAO
279,0.7469939758793239,EAO
280,0.7483314773547883,EAO
281,0.7496665925596525,EAO
282,0.7509993342207435,EAO
283,0.752329714952161,EAO
284,0.7536577472566709,EAO
285,0.7549834435270749,EAO
286,0.7563068160475614,EAO
287,0.7576278769950324,EAO
288,0.758946638440411,EAO
289,0.7602631123499285,EAO
290,0.7615773105863908,EAO
291,0.762889244910426,EAO
292,0.764198926981712,EAO
293,0.7655063683601855,EAO
294,0.7668115805072325,EAO
295,0.7681145747868608,EAO
296,0.7694153624668538,EAO
297,0.7707139547199077,EAO
298,0.7720103626247513,EAO
299,0.7733045971672482,EAO
300,0.7745966692414834,EAO
301,0.7758865896508329,EAO
302,0.7771743691090179,EAO
303,0.7784600182411425,EAO
304,0.7797435475847171,EAO
305,0.7810249675906654,EAO
306,0.7823042886243179,EAO
307,0.7835815209663893,EAO
308,0.7848566748139434,EAO
309,0.7861297602813418,EAO
310,0.7874007874011811,EAO
311,0.7886697661252141,EAO
312,0.7899367063252599,EAO
313,0.7912016177940993,EAO
314,0.792464510246358,EAO
315,0.7937253933193772,EAO
316,0.7949842765740717,EAO
317,0.7962411694957753,EAO
318,0.7974960814950754,EAO
319,0.7987490219086343,EAO
320,0.8,EAO
321,0.8012490249604052,EAO
322,0.8024961059095552,EAO
323,0.8037412518964048,EAO
324,0.8049844718999243,EAO
325,0.806225774829855,EAO
326,0.807465169527454,EAO
327,0.8087026647662292,EAO
328,0.8099382692526635,EAO
329,0.8111719916269299,EAO
330,0.812403840463596,EAO
331,0.8136338242723197,EAO
332,0.8148619514985346,EAO
333,0.8160882305241266,EAO
334,0.817312669668102,EAO
335,0.8185352771872451,EAO
336,0.8197560612767679,EAO
337,0.8209750300709517,EAO
338,0.8221921916437787,EAO
339,0.8234075540095561,EAO
340,0.8246211251235321,EAO
341,0.8258329128825032,EAO
342,0.8270429251254133,EAO
343,0.8282511696339463,EAO
344,0.8294576541331088,EAO
345,0.8306623862918074,EAO
346,0.8318653737234168,EAO
347,0.8330666239863411,EAO
348,0.8342661445845684,EAO
349,0.8354639429682169,EAO
350,0.8366600265340756,EAO
351,0.8378544026261364,EAO
352,0.8390470785361213,EAO
353,0.8402380615040002,EAO
354,0.8414273587185052,EAO
355,0.8426149773176358,EAO
356,0.8438009243891594,EAO
357,0.8449852069711044,EAO
358,0.8461678320522472,EAO
359,0.8473488065725944,EAO
360,0.848528137423857,EAO
361,0.8497058314499201,EAO
362,0.8508818954473059,EAO
363,0.8520563361656317,EAO
364,0.8532291603080616,EAO
365,0.8544003745317531,EAO
366,0.8555699854482975,EAO
367,0.8567379996241558,EAO
368,0.8579044235810886,EAO
369,0.8590692637965812,EAO
370,0.8602325267042626,EAO
371,0.8613942186943212,EAO
372,0.862554346113913,EAO
373,0.8637129152675673,EAO
374,0.8648699324175861,EAO
375,0.8660254037844386,EAO
376,0.867179335547152,EAO
377,0.8683317338436964,EAO
378,0.8694826047713663,EAO
379,0.8706319543871567,EAO
380,0.8717797887081347,EAO
381,0.8729261137118078,EAO
382,0.8740709353364863,EAO
383,0.8752142594816426,EAO
384,0.8763560920082658,EAO
385,0.8774964387392122,EAO
386,0.8786353054595518,EAO
387,0.8797726979169108,EAO
388,0.8809086218218096,EAO
389,0.8820430828479978,EAO
390,0.8831760866327847,EAO
391,0.8843076387773657,EAO
392,0.8854377448471462,EAO
393,0.8865664103720601,EAO
394,0.8876936408468858,EAO
395,0.8888194417315589,EAO
396,0.8899438184514796,EAO
397,0.8910667763978186,EAO
398,0.8921883209278185,EAO
399,0.8933084573650918,EAO
400,0.8944271909999159,EAO
401,0.8955445270895245,EAO
402,0.8966604708583958,EAO
403,0.8977750274985377,EAO
404,0.8988882021697693,EAO
405,0.9,EAO
406,0.9011104260855048,EAO
407,0.9022194854911968,EAO
408,0.9033271832508971,EAO
409,0.904433524367601,EAO
410,0.9055385138137416,EAO
411,0.906642156531451,EAO
412,0.9077444574328174,EAO
413,0.908845421400141,EAO
414,0.909945053286186,EAO
415,0.9110433579144299,EAO
416,0.9121403400793103,EAO
417,0.9132360045464699,EAO
418,0.9143303560529968,EAO
419,0.9154233993076646,EAO
420,0.916515138991168,EAO
421,0.9176055797563569,EAO
422,0.9186947262284682,EAO
423,0.9197825830053535,EAO
424,0.920869154657707,EAO
425,0.9219544457292888,EAO
426,0.9230384607371461,EAO
427,0.9241212041718337,EAO
428,0.9252026804976302,EAO
429,0.9262828941527529,EAO
430,0.9273618495495703,EAO
431,0.9284395510748128,EAO
432,0.92951600308978,EAO
433,0.9305912099305473,EAO
434,0.9316651759081692,EAO
435,0.9327379053088815,EAO
436,0.9338094023943002,EAO
437,0.9348796714016194,EAO
438,0.9359487165438072,EAO
439,0.9370165420097982,EAO
440,0.938083151964686,EAO
441,0.9391485505499116,EAO
442,0.9402127418834527,EAO
443,0.9412757300600074,EAO
444,0.9423375191511797,EAO
445,0.9433981132056604,EAO
446,0.9444575162494075,EAO
447,0.9455157322858251,EAO
448,0.9465727652959386,EAO
449,0.9476286192385707,EAO
450,0.9486832980505138,EAO
451,0.9497368056467013,EAO
452,0.950789145920377,EAO
453,0.9518403227432635,EAO
454,0.9528903399657277,EAO
455,0.9539392014169457,EAO
456,0.9549869109050658,EAO
457,0.9560334722173696,EAO
458,0.9570788891204319,EAO
459,0.9581231653602788,EAO
460,0.9591663046625439,EAO
461,0.9602083107326244,EAO
462,0.9612491872558333,EAO
463,0.9622889378975527,EAO
464,0.9633275663033837,EAO
465,0.9643650760992956,EAO
466,0.9654014708917736,EAO
467,0.9664367542679656,EAO
468,0.9674709297958259,EAO
469,0.96850400102426,EAO
470,0.9695359714832658,EAO
471,0.9705668446840743,EAO
472,0.9715966241192895,EAO
473,0.9726253132630263,EAO
474,0.9736529155710468,EAO
475,0.9746794344808963,EAO
476,0.9757048734120374,EAO
477,0.9767292357659824,EAO
478,0.9777525249264253,EAO
479,0.9787747442593725,EAO
480,0.9797958971132712,EAO
481,0.9808159868191383,EAO
482,0.9818350166906862,EAO
483,0.9828529900244491,EAO
484,0.9838699100999074,EAO
485,0.9848857801796105,EAO
486,0.985900603509299,EAO
487,0.9869143833180262,EAO
488,0.9879271228182775,EAO
489,0.9889388252060892,EAO
490,0.9899494936611666,EAO
491,0.9909591313469996,EAO
492,0.9919677414109795,EAO
493,0.9929753269845127,EAO
494,0.9939818911831342,EAO
495,0.99498743710662,EAO
496,0.9959919678390986,EAO
497,0.9969954864491614,EAO
498,0.997997995989972,EAO
499,0.9989994994993742,EAO
500,1.0,EAO
