dim,fid,alg,p,p_holm,sign
20,12,AS-ABMO,0.03265093917842125,0.16325469589210623,=
20,1,RUN,3.019859359162157e-11,3.5495677988435577e-10,-
20,2,RUN,3.019859359162157e-11,3.5495677988435577e-10,-
20,3,RUN,2.957973165702965e-11,3.5495677988435577e-10,-
20,4,RUN,0.8418014501581275,0.8418014501581275,=
20,5,RUN,3.019859359162157e-11,3.5495677988435577e-10,-
20,6,RUN,3.019859359162157e-11,3.5495677988435577e-10,-
20,7,RUN,7.389082518022347e-11,3.6945412590111735e-10,-
20,8,RUN,3.019859359162157e-11,3.5495677988435577e-10,-
20,9,RUN,3.019859359162157e-11,3.5495677988435577e-10,-
20,10,RUN,0.061451911011256986,0.18435573303377095,=
20,11,RUN,0.03146563257725609,0.12586253030902436,=
20,12,RUN,0.20094889697592833,0.40189779395185665,=
20,1,GWO,3.019859359162157e-11,3.5495677988435577e-10,-
20,2,GWO,3.019859359162157e-11,3.5495677988435577e-10,-
20,3,GWO,2.957973165702965e-11,3.5495677988435577e-10,-
20,4,GWO,0.11198687208268976,0.22397374416537952,=
20,5,GWO,0.0005561109783724005,0.002780554891862003,-
20,6,GWO,3.019859359162157e-11,3.5495677988435577e-10,-
20,7,GWO,5.572653248454238e-10,3.3435919490725426e-09,-
20,8,GWO,3.019859359162157e-11,3.5495677988435577e-10,-
20,9,GWO,4.504322112705282e-11,3.5495677988435577e-10,-
20,10,GWO,0.011710683792873126,0.046842735171492504,-
20,11,GWO,0.5395103167994048,0.5395103167994048,=
20,12,GWO,0.061451911011256986,0.18435573303377095,=
20,1,WOA,3.019859359162157e-11,3.5495677988435577e-10,-
20,2,WOA,3.019859359162157e-11,3.5495677988435577e-10,-
20,3,WOA,2.957973165702965e-11,3.5495677988435577e-10,-
20,4,WOA,3.158889488129529e-10,1.5794447440647646e-09,-
20,5,WOA,3.019859359162157e-11,3.5495677988435577e-10,-
20,6,WOA,0.0009520740392726185,0.0028562221178178556,-
20,7,WOA,3.6897258539809896e-11,3.5495677988435577e-10,-
20,8,WOA,3.6897258539809896e-11,3.5495677988435577e-10,-
20,9,WOA,3.019859359162157e-11,3.5495677988435577e-10,-
20,10,WOA,0.0013703325610487653,0.0028562221178178556,-
20,11,WOA,0.0023799639794362107,0.0028562221178178556,-
20,12,WOA,4.1996766179584087e-10,1.6798706471833635e-09,-
20,1,HHO,3.019859359162157e-11,3.5495677988435577e-10,-
20,2,HHO,3.019859359162157e-11,3.5495677988435577e-10,-
20,3,HHO,2.957973165702965e-11,3.5495677988435577e-10,-
20,4,HHO,8.882879790830555e-06,2.6648639372491664e-05,-
20,5,HHO,3.019859359162157e-11,3.5495677988435577e-10,-
20,6,HHO,3.019859359162157e-11,3.5495677988435577e-10,-
20,7,HHO,3.6897258539809896e-11,3.5495677988435577e-10,-
20,8,HHO,4.504322112705282e-11,3.5495677988435577e-10,-
20,9,HHO,3.019859359162157e-11,3.5495677988435577e-10,-
20,10,HHO,0.0026242800643638355,0.0026242800643638355,-
20,11,HHO,0.00030058883784483086,0.0006011776756896617,-
20,12,HHO,2.154399276691175e-10,8.6175971067647e-10,-
20,1,SCA,3.019859359162157e-11,3.5495677988435577e-10,-
20,2,SCA,3.019859359162157e-11,3.5495677988435577e-10,-
20,3,SCA,2.957973165702965e-11,3.5495677988435577e-10,-
20,4,SCA,6.72195435841357e-10,2.016586307524071e-09,-
20,5,SCA,3.019859359162157e-11,3.5495677988435577e-10,-
20,6,SCA,3.019859359162157e-11,3.5495677988435577e-10,-
20,7,SCA,3.6897258539809896e-11,3.5495677988435577e-10,-
20,8,SCA,3.019859359162157e-11,3.5495677988435577e-10,-
20,9,SCA,3.019859359162157e-11,3.5495677988435577e-10,-
20,10,SCA,0.3710770321265142,0.3710770321265142,=
20,11,SCA,0.015014132798189755,0.03002826559637951,+
20,12,SCA,3.019859359162157e-11,3.5495677988435577e-10,-
20,1,LSHADE,2.799953001371543e-10,2.2399624010972345e-09,+
20,2,LSHADE,0.5297824906260176,0.5297824906260176,=
20,3,LSHADE,1.307510876132323e-11,1.5690130513587876e-10,+
20,4,LSHADE,2.0337965170597153e-09,1.2202779102358293e-08,+
20,5,LSHADE,1.0701785878647307e-09,7.491250115053115e-09,+
20,6,LSHADE,7.08811385443278e-08,2.835245541773112e-07,+
20,7,LSHADE,3.3383888204288e-11,3.67222770247168e-10,+
20,8,LSHADE,1.0906865251349971e-05,3.272059575404991e-05,+
20,9,LSHADE,4.572570439873648e-09,2.286285219936824e-08,+
20,10,LSHADE,0.007958995661045572,0.015917991322091145,+
20,11,LSHADE,1.4643068877150338e-10,1.3178761989435305e-09,+
20,12,LSHADE,8.993406027014868e-11,8.993406027014868e-10,+
