alg,fid,dim,seed,sec
RUN,11,10,2030,2.6181680749868974
RUN,12,10,2026,2.7265980660449713
RUN,12,10,2027,2.858674719929695
RUN,12,10,2028,2.9333194199716672
RUN,12,10,2029,2.8016294959234074
RUN,12,10,2030,2.8126760580344126
GWO,1,10,2026,0.686801539035514
GWO,1,10,2027,0.5835956520168111
GWO,1,10,2028,0.6206931999186054
GWO,1,10,2029,0.6381346000125632
GWO,1,10,2030,0.5916005260078236
GWO,2,10,2026,0.6649102380033582
GWO,2,10,2027,0.6438323709880933
GWO,2,10,2028,0.7239214880391955
GWO,2,10,2029,0.6809465519618243
GWO,2,10,2030,0.6308856660034508
GWO,3,10,2026,0.8590288220439106
GWO,3,10,2027,0.869857813930139
GWO,3,10,2028,0.9687471399083734
GWO,3,10,2029,0.9178074679803103
GWO,3,10,2030,0.907645849045366
GWO,4,10,2026,0.9617786229355261
GWO,4,10,2027,1.104980799020268
GWO,4,10,2028,1.1400579760083929
GWO,4,10,2029,1.096207748982124
GWO,4,10,2030,1.14857547392603
GWO,5,10,2026,0.8448846730170771
GWO,5,10,2027,0.7438448049360886
GWO,5,10,2028,0.730870669009164
GWO,5,10,2029,0.8738928260281682
GWO,5,10,2030,0.7662563180783764
GWO,6,10,2026,0.8528074969071895
GWO,6,10,2027,0.8320786409312859
GWO,6,10,2028,0.7303339820355177
GWO,6,10,2029,0.8061855220003054
GWO,6,10,2030,0.7423574150307104
GWO,7,10,2026,3.3498601550236344
GWO,7,10,2027,3.59889084903989
GWO,7,10,2028,3.3832953659584746
GWO,7,10,2029,3.5592036639573053
GWO,7,10,2030,3.3529323989059776
GWO,8,10,2026,4.39064962498378
GWO,8,10,2027,4.459269625018351
GWO,8,10,2028,4.288742283009924
GWO,8,10,2029,4.673374729929492
GWO,8,10,2030,4.194379674969241
GWO,9,10,2026,1.4300280690658838
GWO,9,10,2027,1.615145161980763
GWO,9,10,2028,1.4586659979540855
GWO,9,10,2029,1.2909623220330104
GWO,9,10,2030,1.276784508023411
GWO,10,10,2026,1.3705146160209551
GWO,10,10,2027,1.4287900000344962
GWO,10,10,2028,1.5334172840230167
GWO,10,10,2029,1.6447655169758946
GWO,10,10,2030,1.4835728339385241
GWO,11,10,2026,1.8939534779638052
GWO,11,10,2027,1.9244199990062043
GWO,11,10,2028,2.2313101440668106
GWO,11,10,2029,2.072529361001216
GWO,11,10,2030,2.2970092609757558
GWO,12,10,2026,2.0462590910028666
GWO,12,10,2027,2.1801682899240404
GWO,12,10,2028,2.127094430034049
GWO,12,10,2029,2.4936443590559065
GWO,12,10,2030,2.1715072710067034
WOA,1,10,2026,0.5791785280453041
WOA,1,10,2027,0.48936663498170674
WOA,1,10,2028,0.53513941494748
WOA,1,10,2029,0.47480682597961277
WOA,1,10,2030,0.446019452996552
WOA,2,10,2026,0.51473411207553
WOA,2,10,2027,0.596480741049163
WOA,2,10,2028,0.5902119359234348
WOA,2,10,2029,0.6932235539425164
WOA,2,10,2030,0.5502001970307902
WOA,3,10,2026,0.7428500150563195
WOA,3,10,2027,0.6695421119220555
WOA,3,10,2028,0.7756137310061604
WOA,3,10,2029,0.8218269010540098
WOA,3,10,2030,0.6850876909447834
WOA,4,10,2026,1.0396481590578333
WOA,4,10,2027,0.959570978069678
WOA,4,10,2028,0.961618400993757
WOA,4,10,2029,0.9343676229473203
WOA,4,10,2030,0.8875390659086406
WOA,5,10,2026,0.6633573599392548
WOA,5,10,2027,0.5941519979387522
WOA,5,10,2028,0.6214268410112709
WOA,5,10,2029,0.5840035500004888
WOA,5,10,2030,0.8233519130153582
WOA,6,10,2026,0.6157595340628177
WOA,6,10,2027,0.6325700060697272
WOA,6,10,2028,0.6398560489760712
WOA,6,10,2029,0.7661050671013072
WOA,6,10,2030,0.7325041560688987
WOA,7,10,2026,3.0541195260593668
WOA,7,10,2027,3.4779360479442403
WOA,7,10,2028,3.1905802799155936
WOA,7,10,2029,3.23982228001114
WOA,7,10,2030,3.3322628639871255
WOA,8,10,2026,4.133262978983112
WOA,8,10,2027,4.359517476987094
WOA,8,10,2028,4.354634260991588
WOA,8,10,2029,4.780301371007226
WOA,8,10,2030,4.6106403729645535
WOA,9,10,2026,1.4165915220510215
WOA,9,10,2027,1.234173700097017
WOA,9,10,2028,1.2788026289781556
WOA,9,10,2029,1.3319168830057606
WOA,9,10,2030,1.2797882339218631
WOA,10,10,2026,1.2096153720049188
WOA,10,10,2027,1.2864586769137532
WOA,10,10,2028,1.3163129279855639
WOA,10,10,2029,1.477277062018402
WOA,10,10,2030,1.3394619019236416
WOA,11,10,2026,1.9283013560343534
WOA,11,10,2027,2.0614446899853647
WOA,11,10,2028,1.9442002930445597
WOA,11,10,2029,2.220878697000444
WOA,11,10,2030,1.93399342300836
WOA,12,10,2026,2.078643140033819
WOA,12,10,2027,2.056950976024382
WOA,12,10,2028,2.034025511937216
WOA,12,10,2029,1.967059737071395
WOA,12,10,2030,1.9889386129798368
HHO,1,10,2026,0.48331569298170507
HHO,1,10,2027,0.4944995610276237
HHO,1,10,2028,0.3571882749674842
HHO,1,10,2029,0.378133388934657
HHO,1,10,2030,0.39331084198784083
HHO,2,10,2026,0.5157556689810008
HHO,2,10,2027,0.4557960529346019
HHO,2,10,2028,0.43978488305583596
HHO,2,10,2029,0.5429147490067407
HHO,2,10,2030,0.4473162239883095
HHO,3,10,2026,0.5824757519876584
HHO,3,10,2027,0.6297834669239819
HHO,3,10,2028,0.6319094819482416
HHO,3,10,2029,0.6765078700846061
HHO,3,10,2030,0.5933525650762022
HHO,4,10,2026,0.7628854539943859
HHO,4,10,2027,0.8076682100072503
HHO,4,10,2028,0.7945499320048839
HHO,4,10,2029,0.72803610493429
HHO,4,10,2030,0.8251627089921385
HHO,5,10,2026,0.5118354569422081
HHO,5,10,2027,0.571607121033594
HHO,5,10,2028,0.49956604605540633
HHO,5,10,2029,0.47998272196855396
HHO,5,10,2030,0.5205357020022348
HHO,6,10,2026,0.5461064480477944
HHO,6,10,2027,0.6237709979759529
HHO,6,10,2028,0.6236483700340614
HHO,6,10,2029,0.5872793210437521
HHO,6,10,2030,0.6558247969951481
HHO,7,10,2026,3.1042571360012516
HHO,7,10,2027,2.974039103020914
HHO,7,10,2028,3.1427779409568757
HHO,7,10,2029,3.1706825009314343
HHO,7,10,2030,3.1479247310198843
HHO,8,10,2026,4.071037336019799
HHO,8,10,2027,4.155914184986614
HHO,8,10,2028,4.14977011596784
HHO,8,10,2029,4.007860413985327
HHO,8,10,2030,4.158795946044847
HHO,9,10,2026,1.1394737559603527
HHO,9,10,2027,1.0304081640206277
HHO,9,10,2028,1.1478399379411712
HHO,9,10,2029,1.1336097930325195
HHO,9,10,2030,1.1080523749114946
HHO,10,10,2026,1.0942707589128986
HHO,10,10,2027,1.346672581974417
HHO,10,10,2028,1.1638392239110544
HHO,10,10,2029,1.2567228400148451
HHO,10,10,2030,1.2173679909901693
HHO,11,10,2026,1.7673347960226238
HHO,11,10,2027,1.7521084730979055
HHO,11,10,2028,1.9426089669577777
HHO,11,10,2029,1.744563232990913
