t,AF,S,fed,seed,curve,variant
2,0.10525086815699991,0.8501109278341786,0,1002,698323421.8518114,EAO+M1
3,0.10434946728127881,0.8583182607961513,0,1002,698323421.8518114,EAO+M1
4,0.10036532711407131,0.8963600266688101,0,1002,414647329.85349673,EAO+M1
5,0.09968625469278203,0.9031473276650314,0,1002,184208597.56083867,EAO+M1
6,0.09686445025369794,0.9323704902891591,0,1002,134289738.17465174,EAO+M1
7,0.09623482455244536,0.9391248746497458,0,1002,30656287.181178764,EAO+M1
8,0.09559920425732293,0.9460338114408516,0,1002,30656287.181178764,EAO+M1
9,0.0923876888790951,0.9823952976122924,0,1002,30656287.181178764,EAO+M1
10,0.09106541486779696,0.9981117271048917,0,1002,3904475.200278834,EAO+M1
11,0.09140364681704938,0.9940482517087843,0,1002,3904475.200278834,EAO+M1
12,0.09138304227727656,0.994294931619564,0,1002,3904475.200278834,EAO+M1
13,0.09090909090909094,1.0,0,1002,3904475.200278834,EAO+M1
14,0.09183020402138897,0.988966327208727,0,1002,3904475.200278834,EAO+M1
15,0.09090909090909094,1.0,0,1002,3904475.200278834,EAO+M1
16,0.09237981963892739,0.9824874998766678,0,1002,3904475.200278834,EAO+M1
17,0.09249881230732093,0.9810949622548335,0,1002,3862350.570835487,EAO+M1
18,0.09174254991979791,0.9900067644448616,0,1002,3862350.570835487,EAO+M1
19,0.09283716361032424,0.9771548387641523,0,1002,3260018.22109861,EAO+M1
20,0.09090909090909094,1.0,0,1002,3260018.22109861,EAO+M1
21,0.0924979664610539,0.9811048483115011,0,1002,1521390.1496090463,EAO+M1
22,0.09360151315435616,0.9683587970964993,0,1002,1521390.1496090463,EAO+M1
23,0.09608397019837323,0.9407563279654426,0,1002,1521390.1496090463,EAO+M1
24,0.09472505058377623,0.9556869527513061,0,1002,1521390.1496090463,EAO+M1
25,0.09411791519912394,0.9624969729560144,0,1002,1521390.1496090463,EAO+M1
26,0.0958774363036774,0.9429982679476846,0,1002,1065716.2993978497,EAO+M1
27,0.10091341621132777,0.890948515612484,0,1002,1065716.2993978497,EAO+M1
28,0.09697635656116443,0.931179181669178,0,1002,1065716.2993978497,EAO+M1
29,0.09846861801295181,0.9155519800922449,0,1002,759673.355795001,EAO+M1
30,0.09951893136440348,0.904833940929641,0,1002,759673.355795001,EAO+M1
31,0.10347702921785196,0.8663980571907248,0,1002,350423.5753277952,EAO+M1
32,0.10382081066005755,0.8631980271029848,0,1002,350423.5753277952,EAO+M1
33,0.10486283943790575,0.8536266663770317,0,1002,350423.5753277952,EAO+M1
34,0.10397783194877552,0.8617434613299573,0,1002,194483.059251587,EAO+M1
35,0.10450845762349559,0.8568603563193151,0,1002,194483.059251587,EAO+M1
36,0.1035094722203116,0.866095158780812,0,1002,194483.059251587,EAO+M1
37,0.10474346435055881,0.8547135052294694,0,1002,194483.059251587,EAO+M1
38,0.10312705666143451,0.8696776310439976,0,1002,88870.32572168074,EAO+M1
39,0.10136183448311964,0.8865646227688739,0,1002,88870.32572168074,EAO+M1
40,0.10146216559077237,0.8855890559573734,0,1002,88870.32572168074,EAO+M1
41,0.10367144231891923,0.8645857891354021,0,1002,88870.32572168074,EAO+M1
42,0.10189125580251113,0.881438487654163,0,1002,88870.32572168074,EAO+M1
43,0.10015587291733152,0.8984436966820687,0,1002,88870.32572168074,EAO+M1
44,0.10018281548971086,0.8981751811544,0,1002,88870.32572168074,EAO+M1
45,0.10230293030149584,0.8774891071574495,0,1002,39164.381179505806,EAO+M1
46,0.10623210834077157,0.8413349839506131,0,1002,39164.381179505806,EAO+M1
47,0.10588030314774433,0.8444627284496998,0,1002,39164.381179505806,EAO+M1
48,0.10797504754324894,0.8261399024616811,0,1002,39164.381179505806,EAO+M1
49,0.10716755269319911,0.8331182572236343,0,1002,39164.381179505806,EAO+M1
50,0.10714923843678359,0.8332777484834711,0,1002,39164.381179505806,EAO+M1
51,0.10372450337646433,0.8640923479484265,0,1002,39164.381179505806,EAO+M1
52,0.1031640034010246,0.8693303546128839,0,1002,39164.381179505806,EAO+M1
53,0.10556393353912008,0.8472932340375687,0,1002,29534.580230431224,EAO+M1
54,0.10840385806678765,0.822476393214621,0,1002,29534.580230431224,EAO+M1
55,0.11185095054064542,0.794046939401387,0,1002,29534.580230431224,EAO+M1
56,0.11404789801157555,0.7768245775985304,0,1002,24972.036680885725,EAO+M1
57,0.1139906006406578,0.7772653134378898,0,1002,24972.036680885725,EAO+M1
58,0.11469349522374273,0.7718890274023051,0,1002,24972.036680885725,EAO+M1
59,0.11475912075232786,0.7713904336703584,0,1002,24972.036680885725,EAO+M1
60,0.11521357223130502,0.7679532980649022,0,1002,24972.036680885725,EAO+M1
61,0.1117189466921491,0.7951033191850466,0,1002,19003.942474395953,EAO+M1
62,0.11474337754942421,0.771509991562923,0,1002,19003.942474395953,EAO+M1
63,0.11290895875848261,0.785669313574174,0,1002,19003.942474395953,EAO+M1
64,0.11192390057041524,0.7934642153316173,0,1002,19003.942474395953,EAO+M1
65,0.11471542420532965,0.7717223572395069,0,1002,19003.942474395953,EAO+M1
66,0.11370683361847689,0.7794546186690264,0,1002,19003.942474395953,EAO+M1
67,0.11647322139133731,0.7585664481967996,0,1002,19003.942474395953,EAO+M1
68,0.1130695079117423,0.7844117379378363,0,1002,14943.00251727333,EAO+M1
69,0.10772277378308559,0.828308810552572,0,1002,14943.00251727333,EAO+M1
70,0.10759376358391781,0.8294218983426944,0,1002,14943.00251727333,EAO+M1
71,0.11016905918008069,0.8076958698225924,0,1002,8156.699396104912,EAO+M1
72,0.1102621263284359,0.8069297258256353,0,1002,8156.699396104912,EAO+M1
73,0.11098033137999264,0.801060564124679,0,1002,8156.699396104912,EAO+M1
74,0.11036184061478582,0.8061102953968162,0,1002,8156.699396104912,EAO+M1
75,0.11132735589372633,0.7982518195748805,0,1002,8156.699396104912,EAO+M1
76,0.11083718009957066,0.8022243249978476,0,1002,8156.699396104912,EAO+M1
77,0.11241235994040277,0.7895818934236113,0,1002,8156.699396104912,EAO+M1
78,0.11475655203367696,0.7714099389344978,0,1002,8156.699396104912,EAO+M1
79,0.11603710343167994,0.761793314746759,0,1002,8156.699396104912,EAO+M1
80,0.11964204495262698,0.7358265694939902,0,1002,8156.699396104912,EAO+M1
81,0.12169309246090998,0.7217393278268592,0,1002,6251.236136637583,EAO+M1
82,0.12018462940885999,0.7320531543164867,0,1002,6251.236136637583,EAO+M1
83,0.12114710546164564,0.7254427509343947,0,1002,3227.5458486963407,EAO+M1
84,0.1271658946291897,0.6863743678412808,0,1002,3227.5458486963407,EAO+M1
85,0.12917233305519993,0.6741595869238225,0,1002,3227.5458486963407,EAO+M1
86,0.13219259777933157,0.6564720088709468,0,1002,3227.5458486963407,EAO+M1
87,0.13534589509114836,0.6388476756731724,0,1002,3227.5458486963407,EAO+M1
88,0.1404252176357227,0.61212280588669,0,1002,3227.5458486963407,EAO+M1
89,0.14016720480452283,0.6134336461903481,0,1002,3227.5458486963407,EAO+M1
90,0.1438288903656617,0.5952706076349903,0,1002,3227.5458486963407,EAO+M1
91,0.14868044152867144,0.5725834210057551,0,1002,3227.5458486963407,EAO+M1
92,0.14938783933654864,0.5693985296535067,0,1002,3227.5458486963407,EAO+M1
93,0.15481525351223346,0.545931183984387,0,1002,3227.5458486963407,EAO+M1
94,0.1582772304240775,0.5318028166911097,0,1002,3227.5458486963407,EAO+M1
95,0.1639220469035262,0.5100460669506737,0,1002,3227.5458486963407,EAO+M1
96,0.167594395336776,0.4966786645761808,0,1002,3227.5458486963407,EAO+M1
97,0.17348350029484683,0.4764236934927143,0,1002,3227.5458486963407,EAO+M1
98,0.17328963748921944,0.4770685509467993,0,1002,3227.5458486963407,EAO+M1
99,0.17788983858985263,0.46214565594475887,0,1002,3227.5458486963407,EAO+M1
