alg,fid,dim,seed,f,err,nfe
EAO,12,10,2027,2864.9002351941303,164.90023519413035,15030
EAO,12,10,2028,2866.376074313234,166.37607431323386,15030
EAO,12,10,2029,2864.8978939883505,164.89789398835046,15030
EAO,12,10,2030,2866.220211103231,166.22021110323112,15030
EAO,12,10,2031,2868.5870503211363,168.5870503211363,15030
EAO,12,10,2032,2865.935807670246,165.93580767024605,15030
EAO,12,10,2033,2867.480557014261,167.4805570142612,15030
EAO,12,10,2034,2866.3747571138156,166.37475711381558,15030
EAO,12,10,2035,2864.9040671952166,164.9040671952166,15030
EAO,12,10,2036,2863.774397051844,163.77439705184406,15030
EAO,12,10,2037,2863.7696245887864,163.76962458878643,15030
EAO,12,10,2038,2866.991194459005,166.99119445900487,15030
EAO,12,10,2039,2866.763463394103,166.76346339410293,15030
EAO,12,10,2040,2866.3767178920693,166.37671789206934,15030
EAO,12,10,2041,2864.5652284210632,164.56522842106324,15030
EAO,12,10,2042,2866.3851304459745,166.38513044597448,15030
EAO,12,10,2043,2864.543329439155,164.54332943915506,15030
EAO,12,10,2044,2867.4478273392456,167.44782733924558,15030
EAO,12,10,2045,2866.7985841810855,166.79858418108552,15030
EAO,12,10,2046,2865.425111330288,165.42511133028802,15030
EAO,12,10,2047,2866.554210797849,166.554210797849,15030
EAO,12,10,2048,2873.0841255146916,173.08412551469155,15030
EAO,12,10,2049,2864.5006575566417,164.50065755664173,15030
EAO,12,10,2050,2865.9343827500948,165.93438275009476,15030
EAO,12,10,2051,2866.4519704598524,166.45197045985242,15030
EAO,12,10,2052,2866.4476751726065,166.44767517260652,15030
EAO,12,10,2053,2864.5629179092343,164.56291790923433,15030
EAO,12,10,2054,2866.453282989173,166.4532829891732,15030
EAO,12,10,2055,2867.48002412816,167.48002412816004,15030
RS-EAO,4,10,2026,861.8545472269274,61.854547226927366,15030
RS-EAO,4,10,2027,834.5488245986699,34.54882459866985,15030
RS-EAO,4,10,2028,842.409897284034,42.409897284033946,15030
