t,AF,S,fed,best_f
336,0.8197560612767679,4.776390501001194e-05,0,0.01291020328903489
337,0.8209750300709517,4.6535378684451636e-05,0,0.01291017297387922
338,0.8221921916437787,4.837619693910882e-05,0,0.01290997131819849
339,0.8234075540095561,7.216980284670278e-05,0,0.012909622200815913
340,0.8246211251235321,0.00014082747875386394,0,0.012909622200815913
341,0.8258329128825032,0.00011826442050493115,0,0.01290957720374734
342,0.8270429251254133,0.00010082430519074806,0,0.012909574581576504
343,0.8282511696339463,6.436186197572341e-05,0,0.012909404483649268
344,0.8294576541331088,8.676413809138891e-05,0,0.012909148812345712
345,0.8306623862918074,9.968326457801886e-05,0,0.012908825886378017
346,0.8318653737234168,0.00019460808112298328,0,0.012908824899903786
347,0.8330666239863411,0.00015130891631446092,0,0.01290872156899875
348,0.8342661445845684,0.0001237799714765566,0,0.012908705457956157
349,0.8354639429682169,7.623523700517032e-05,0,0.012908698374287625
350,0.8366600265340756,5.830618282237141e-05,0,0.012908674945464625
351,0.8378544026261364,4.26869775094534e-05,0,0.012908641879996737
352,0.8390470785361213,4.5084974784046935e-05,0,0.012908627865769889
353,0.8402380615040002,3.718869017115515e-05,0,0.012908589087543262
354,0.8414273587185052,3.7925764596397745e-05,0,0.0129084337755091
355,0.8426149773176358,5.221825623094101e-05,0,0.01290840039933833
356,0.8438009243891594,6.351291350290552e-05,0,0.012908396137996495
357,0.8449852069711044,4.542370199130119e-05,0,0.01290827793042346
358,0.8461678320522472,6.618545008043145e-05,0,0.01290827793042346
359,0.8473488065725944,4.625437724657884e-05,0,0.012908214828466626
360,0.848528137423857,4.57915805856139e-05,0,0.0129082096457097
361,0.8497058314499201,4.165162908829391e-05,0,0.012908186313422944
362,0.8508818954473059,3.260388585028328e-05,0,0.012908182917539084
363,0.8520563361656317,3.379358254347005e-05,0,0.012908144259345012
364,0.8532291603080616,2.920909346045324e-05,0,0.012908141514706513
365,0.8544003745317531,3.159651103134089e-05,0,0.0129079853018717
366,0.8555699854482975,5.4915570447156565e-05,0,0.012907924474418317
367,0.8567379996241558,6.727377988797122e-05,0,0.012907887105196107
368,0.8579044235810886,6.270192992195207e-05,0,0.012907879308171097
369,0.8590692637965812,5.4378883712465726e-05,0,0.012907871971643718
370,0.8602325267042626,3.570565114253586e-05,0,0.012907838201883261
371,0.8613942186943212,2.680066790322489e-05,0,0.012907838201883261
372,0.862554346113913,1.972358635714332e-05,0,0.012907838201883261
373,0.8637129152675673,1.1090769594853477e-05,0,0.012907823365047961
374,0.8648699324175861,1.0611226724104921e-05,0,0.012907814786985604
375,0.8660254037844386,1.0013627594443454e-05,0,0.012907807701500474
376,0.867179335547152,9.791717989213473e-06,0,0.012907801114645944
377,0.8683317338436964,7.695500839732324e-06,0,0.012907801114645944
378,0.8694826047713663,6.523785740439051e-06,0,0.012907794547572111
379,0.8706319543871567,4.840556705872198e-06,0,0.012907791291708012
380,0.8717797887081347,4.893431442498366e-06,0,0.012907781854311904
381,0.8729261137118078,5.05805191615043e-06,0,0.012907753632728452
382,0.8740709353364863,1.036537366441785e-05,0,0.01290773925509024
383,0.8752142594816426,1.0992850598049655e-05,0,0.012907734392649332
384,0.8763560920082658,1.0469820404964135e-05,0,0.012907712714592045
385,0.8774964387392122,9.268761284826363e-06,0,0.012907708724833196
386,0.8786353054595518,8.59901656922253e-06,0,0.012907705052291418
387,0.8797726979169108,8.072473746570912e-06,0,0.012907692841998752
388,0.8809086218218096,8.008791353044265e-06,0,0.012907684065996636
389,0.8820430828479978,8.17076401488356e-06,0,0.012907677822464724
390,0.8831760866327847,8.487546694378805e-06,0,0.012907655202155827
391,0.8843076387773657,9.036548638725001e-06,0,0.012907654227658927
392,0.8854377448471462,8.790172061583733e-06,0,0.012907642527528225
393,0.8865664103720601,8.545559037007623e-06,0,0.012907639552552959
394,0.8876936408468858,6.304368967154393e-06,0,0.012907639246897322
395,0.8888194417315589,6.011194995092011e-06,0,0.012907638030864508
396,0.8899438184514796,4.291403083917452e-06,0,0.012907637581195001
397,0.8910667763978186,3.6329118446313116e-06,0,0.012907637581195001
398,0.8921883209278185,2.960638364839963e-06,0,0.012907637581195001
399,0.8933084573650918,1.7991566219231545e-06,0,0.012907636718202662
400,0.8944271909999159,1.4494896658231696e-06,0,0.012907636718202662
401,0.8955445270895245,1.0328243931348847e-06,0,0.012907636700229626
402,0.8966604708583958,6.216680864516351e-07,0,0.012907636649474613
403,0.8977750274985377,4.80807269105977e-07,0,0.012907636649474613
404,0.8988882021697693,3.7284310855873707e-07,0,0.0129076358201366
405,0.9,6.379260213756267e-07,0,0.012907634743581704
406,0.9011104260855048,6.925840678283335e-07,0,0.012907632773440307
407,0.9022194854911968,9.096291012800894e-07,0,0.012907631513115716
408,0.9033271832508971,8.777087117931119e-07,0,0.012907630277530655
409,0.904433524367601,7.456817939935356e-07,0,0.012907629124633994
410,0.9055385138137416,7.661011903544024e-07,0,0.01290762779418975
411,0.906642156531451,8.766583974265842e-07,0,0.012907625110293449
412,0.9077444574328174,1.093490942675373e-06,0,0.012907623782169596
413,0.908845421400141,1.1357832909819292e-06,0,0.012907622912488459
414,0.909945053286186,1.2087035864854658e-06,0,0.012907620407244783
415,0.9110433579144299,1.6269661861890709e-06,0,0.012907618943222569
416,0.9121403400793103,1.2955265543121917e-06,0,0.012907617532498515
417,0.9132360045464699,1.5234538401204737e-06,0,0.01290761438300256
418,0.9143303560529968,1.568267944528738e-06,0,0.01290761056062057
419,0.9154233993076646,1.7596276100036315e-06,0,0.01290761056062057
420,0.916515138991168,1.5072702293168802e-06,0,0.012907609331998983
421,0.9176055797563569,1.336804928786146e-06,0,0.012907606841819063
422,0.9186947262284682,1.03367008978403e-06,0,0.012907605386229874
423,0.9197825830053535,1.4842908044825325e-06,0,0.012907602146834235
424,0.920869154657707,1.6597894017677978e-06,0,0.012907602146834235
425,0.9219544457292888,1.6068708791165557e-06,0,0.012907596879963497
426,0.9230384607371461,2.3326404501230683e-06,0,0.012907590974149036
427,0.9241212041718337,3.0716317496681017e-06,0,0.012907583938514369
428,0.9252026804976302,3.3763212425384495e-06,0,0.012907583938514369
429,0.9262828941527529,2.2228918888906832e-06,0,0.01290757800045957
430,0.9273618495495703,2.541043246832294e-06,0,0.012907574890297202
431,0.9284395510748128,2.6528259084461757e-06,0,0.01290757198717309
432,0.92951600308978,2.6323327308047865e-06,0,0.01290756488555924
433,0.9305912099305473,4.060481883970765e-06,0,0.012907542411119976
434,0.9316651759081692,6.403319648637991e-06,0,0.0129075384042454
435,0.9327379053088815,8.686702688960155e-06,0,0.0129075384042454
436,0.9338094023943002,6.374738960064282e-06,0,0.012907536874458751
